ticker,PFNL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-12,2.7273
2006-07-18,0.885
2006-09-21,-3.0702
2006-09-22,0.0
2006-12-06,0.0
2006-12-15,0.0
2006-12-18,-2.7149
2006-12-19,4.6512
2006-12-29,-2.2222
2007-02-13,11.3636
2007-03-02,-8.1633
2007-03-08,4.4444
2007-03-19,-4.2553
2007-03-29,0.0
2007-04-09,0.0
2007-04-10,-6.6667
2007-05-17,-13.3333
2007-05-25,1.6484
2007-06-22,0.0
2007-06-25,0.0
2007-07-16,0.0
2007-07-19,2.7027
2007-07-30,5.2632
2007-08-01,0.0
2007-08-02,2.5
2007-08-06,0.0
2007-08-20,0.0
2007-08-21,2.439
2007-08-31,2.3810000000000002
2007-09-17,-2.3256
2007-10-25,0.0
2007-11-08,-2.3810000000000002
2007-12-10,0.0
2007-12-31,0.0
2008-01-08,2.439
2008-01-28,0.0
2008-02-14,-14.2857
2008-02-15,5.5556
2008-07-02,-15.7895
2008-07-11,-36.25
2008-07-16,-1.9607999999999999
2008-08-15,60.0
2008-11-05,-37.5
2009-01-28,-0.2
2009-02-04,-19.8397
2009-04-02,-71.25
2009-04-08,5.2174
2009-04-09,106.6116
2009-04-22,-58.0
2009-05-28,-51.4286
2009-05-29,-50.9804
2009-06-03,4.0
2009-06-19,303.8462
2009-06-22,0.0
2009-06-24,0.0
2009-07-07,-75.2381
2009-08-11,34.6154
2009-08-12,-42.8571
2009-11-09,-50.0
2009-11-11,650.0
2010-03-01,40.0
2010-03-03,-9.5238
2010-05-17,-75.7895
2010-05-18,-47.8261
2010-05-20,25.0
2010-05-24,573.3333
2010-05-28,-85.1485
2010-06-02,266.6667
2010-06-09,-83.6364
2010-06-22,0.0
2010-06-23,0.0
2010-07-20,0.0
2010-10-01,-66.6667
2010-11-30,0.0
2010-12-03,0.0
2010-12-07,0.0
2010-12-08,0.0
2010-12-22,0.0
2011-01-05,1566.6667
2011-01-21,-94.0
2011-02-18,0.0
2011-02-24,0.0
2011-02-28,0.0
2011-04-08,1566.6667
2011-05-27,-94.0
2011-06-24,-33.3333
2011-10-05,0.0
2011-12-12,0.0
2011-12-20,0.0
2011-12-22,0.0
2012-02-02,-50.0
2012-02-09,10.0
2012-08-08,-9.0909
2012-08-27,-50.0
2013-01-15,-97.5
2013-04-23,0.0
2013-11-26,700.0
2013-11-27,19900.0
2014-02-12,-99.0
2014-05-14,9900.0
2014-07-11,-98.9063
2015-06-09,51.4286
2016-04-15,-24.5283
2016-04-19,500.0
2016-06-21,141.25
2016-10-24,-93.9551
2020-05-20,4471.4286
