ticker,BTFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-22,354.5455
2013-11-25,0.0
2013-12-02,2.0
2013-12-03,0.0
2013-12-04,0.4902
2013-12-05,0.0
2013-12-06,0.9756
2013-12-09,0.4831
2013-12-10,0.0
2013-12-11,0.4808
2013-12-12,1.4354
2013-12-13,0.0
2013-12-16,-2.8302
2013-12-17,4.8544
2013-12-18,-5.5556
2013-12-19,0.9804
2013-12-20,4.8544
2013-12-23,0.1852
2013-12-27,-3.8817
2013-12-31,1.9231
2014-01-02,-7.5472
2014-01-03,6.1224
2014-01-06,-3.8462
2014-01-07,-4.0
2014-01-08,-6.25
2014-01-09,0.0
2014-01-10,11.1111
2014-01-16,-18.0
2014-01-17,2.1951
2014-01-21,-16.4678
2014-01-22,-28.5357
2014-01-24,39.93
2014-01-28,0.0
2014-01-29,14.2857
2014-01-30,-7.5
2014-02-10,0.0
2014-02-28,-18.9189
2014-03-03,-16.625
2014-03-17,59.92
2014-03-18,-25.0
2014-04-04,20.0
2014-04-08,-16.6667
2014-05-05,-33.3333
2014-05-29,100.0
2014-05-30,0.0
2014-06-02,-25.0
2014-06-05,33.0
2014-06-17,-0.2506
2014-06-18,0.5025
2014-06-23,0.0
2014-06-27,0.0
2014-06-30,-25.0
2014-07-14,-25.0
2014-07-24,0.0
2014-07-25,32.8889
2014-07-29,0.3344
2014-07-30,0.0
2014-08-04,0.0
2014-08-20,0.0
2014-08-25,-16.6667
2014-09-16,-44.0
2014-09-17,-14.2857
2014-09-22,0.0
2014-09-23,6.6667
2014-09-24,0.7812
2014-09-25,0.0
2014-09-26,0.0
2014-09-29,-1.5504
2014-09-30,-11.811
2014-10-01,16.0714
2014-10-02,-0.7692
2014-10-03,0.0
2014-10-06,-6.2016
2014-10-07,-0.8264
2014-10-08,5.8333
2014-10-09,3.1496
2014-10-10,-2.2901
2014-10-13,2.3438
2014-10-14,-4.5802
2014-10-15,-2.4
2014-10-16,4.918
2014-10-17,1.5625
2014-10-20,5.3846
2014-10-21,2.9196999999999997
2014-10-22,2.8369
2014-10-23,1.3793
2014-10-24,2.0408
2014-10-27,2.6667
2014-10-28,-12.3377
2014-10-29,2.963
2014-10-30,3.5971
2014-10-31,0.6944
2014-11-03,0.0
2014-11-04,-8.9655
2014-11-05,-3.7879
2014-11-06,4.7244
2014-11-07,-3.0075
2014-11-10,3.1008
2014-11-11,0.7519
2014-11-12,-2.2388
2014-11-13,-0.7634
2014-11-14,-3.0769
2014-11-17,-6.3492
