ticker,RARE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,101.1905
2014-02-03,-7.6923
2014-02-04,-7.0256
2014-02-05,-0.4964
2014-02-06,3.2151
2014-02-07,1.101
2014-02-10,2.1248
2014-02-11,4.3693
2014-02-12,11.5873
2014-02-13,-1.8312
2014-02-14,0.091
2014-02-18,-0.9773
2014-02-19,0.6426
2014-02-20,17.1038
2014-02-21,15.0925
2014-02-24,-1.8443
2014-02-25,1.7066
2014-02-26,-4.9661
2014-02-27,-3.6917999999999997
2014-02-28,3.2593
2014-03-03,-0.4125
2014-03-04,4.8442
2014-03-05,0.9103
2014-03-06,-7.4383
2014-03-07,4.1284
2014-03-10,9.4393
2014-03-11,0.6616
2014-03-12,6.0917
2014-03-13,-8.6129
2014-03-14,-0.7937
2014-03-17,0.1
2014-03-18,0.6327
2014-03-19,3.822
2014-03-20,-3.8247
2014-03-21,-8.7821
2014-03-24,-6.6122
2014-03-25,-1.9646
2014-03-26,0.5754
2014-03-27,-1.7755
2014-03-28,-8.2346
2014-03-31,7.0037
2014-04-01,4.9703
2014-04-02,3.332
2014-04-03,-2.4326
2014-04-04,-2.068
2014-04-07,0.9868
2014-04-08,3.1855
2014-04-09,11.3636
2014-04-10,-1.4626000000000001
2014-04-11,1.8122
2014-04-14,-6.6621
2014-04-15,-9.3898
2014-04-16,-9.3606
2014-04-17,-5.8824
2014-04-21,-3.5714
2014-04-22,0.9503
2014-04-23,-7.6997
2014-04-24,-1.0722
2014-04-25,-6.82
2014-04-28,4.5106
2014-04-29,4.5603
2014-04-30,0.675
2014-05-01,0.1805
2014-05-02,-0.7465
2014-05-05,-0.0519
2014-05-06,-5.9678
2014-05-07,-3.0353
2014-05-08,-0.5976
2014-05-09,4.6378
2014-05-12,-6.8673
2014-05-13,-1.7626
2014-05-14,5.4426
2014-05-15,3.1197
2014-05-16,-5.1705
2014-05-19,-1.9722
2014-05-20,-1.3018
2014-05-21,1.1391
2014-05-22,2.2525
2014-05-23,2.058
2014-05-27,5.3678
2014-05-28,-2.5337
2014-05-29,4.8673
2014-05-30,-0.9494
2014-06-02,-0.3727
2014-06-03,-4.8103
2014-06-04,-5.8113
2014-06-05,2.1759
2014-06-06,3.5881
2014-06-09,6.5897
2014-06-10,-2.8269
2014-06-11,-2.3654
2014-06-12,2.9797000000000002
2014-06-13,-0.1893
2014-06-16,10.5662
2014-06-17,4.3372
2014-06-18,14.3025
2014-06-19,-8.3624
2014-06-20,6.4798
2014-06-23,-5.7275
