ticker,SDTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-06,66.6667
2005-10-10,2.0
2005-10-20,-50.9804
2005-10-25,40.0
2005-10-27,-14.2857
2005-10-28,-26.6667
2005-11-01,36.3636
2005-11-02,-16.6667
2005-11-03,-16.0
2006-01-04,-19.0476
2006-01-17,17.647100000000002
2006-02-23,100.0
2006-03-14,-25.0
2006-03-15,-23.3333
2006-03-17,-34.7826
2006-03-20,0.0
2006-03-23,-20.0
2006-04-13,-16.6667
2006-04-28,-88.0
2006-07-24,-33.3333
2006-08-31,2150.0
2006-09-01,11.1111
2006-11-03,450.0
2006-11-07,-13.5455
2006-11-16,-0.1052
2006-11-27,46.3158
2006-12-18,-20.8633
2007-01-10,-6.8182
2007-01-11,6.8293
2007-05-07,-8.6758
2007-06-28,-40.0
2007-07-02,58.3333
2007-07-03,-47.3684
2007-07-06,40.0
2007-07-13,-50.0
2007-10-04,71.4286
2007-10-29,141.6667
2007-12-04,-33.1834
2008-01-10,-60.6127
2008-02-11,153.8889
2008-02-20,0.0
2008-03-25,-27.7899
2008-03-26,36.3636
2008-04-30,-11.1111
2008-05-05,-40.625
2008-05-07,47.3684
2008-05-12,-42.8571
2008-05-13,0.0
2008-05-14,0.0
2008-05-15,25.0
2008-05-20,40.0
2008-05-22,28.5714
2008-05-23,-0.6667
2008-05-28,11.8568
2008-06-19,-58.0
2008-06-20,42.8571
2008-06-24,-1.6667
2008-07-07,1.6949
2008-07-18,16.6667
2008-07-25,-42.8571
2008-07-29,-25.0
2008-07-30,-20.0
2008-07-31,50.0
2008-08-19,-16.6667
2008-08-21,10.6667
2008-08-22,4.8193
2008-08-27,-13.7931
2008-08-28,18.0
2008-09-02,0.0
2008-09-03,-6.2147
2008-09-15,-14.4578
2008-09-16,0.3521
2008-09-18,0.3509
2008-09-19,-5.5944
2008-09-22,-12.592600000000001
2008-09-30,-11.8644
2008-10-01,22.1154
2008-10-03,-18.1102
2008-10-06,0.0
2008-10-10,0.0
2008-10-23,0.0
2008-10-30,-26.9231
2008-10-31,0.0
2008-11-10,-32.8947
2008-11-11,-11.7647
2008-11-14,22.2222
2008-12-08,-18.1818
2008-12-17,0.0
2008-12-31,0.0
2009-01-09,-11.1111
2009-02-20,-12.5
2009-04-22,-14.2857
2009-05-05,70.0
2009-05-27,-41.1765
2009-07-01,-33.3333
2009-08-14,0.0
2009-08-25,25.0
2009-09-23,0.0
2009-09-30,-20.0
2009-11-24,-65.0
2009-11-25,0.0
