ticker,APG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-11,0.9615
2017-10-12,0.9524
2017-10-16,-2.8764
2017-10-20,-0.4381
2017-10-25,-6.1463
2017-10-30,4.0021
2017-11-07,0.4498
2017-11-09,-2.4876
2017-11-15,0.4082
2017-12-29,1.626
2018-01-09,-4.0
2018-01-11,2.0833
2018-01-16,-0.9184
2018-01-29,-0.103
2018-02-05,-0.5155
2018-02-21,0.0
2018-02-22,-1.5544
2018-04-24,1.0526
2018-04-25,-1.5625
2018-05-01,1.0582
2018-05-08,-1.0471
2018-05-09,-0.5291
2018-05-16,-0.4255
2018-05-24,0.9615
2018-05-31,0.0
2018-06-22,3.7037
2018-09-20,-7.1429
2018-11-12,0.0
2019-01-07,-1.0989
2019-03-18,0.0
2019-04-18,0.0
2019-05-29,-1.6667
2019-06-12,-0.8475
2019-06-13,-1.4245
2019-06-14,-1.7341
2019-06-21,2.9412000000000003
2019-07-03,2.7429
2019-07-10,-4.3382
2019-08-15,10.4651
2019-08-20,-3.0526
2019-09-12,11.835
2019-09-20,-1.4563
2019-09-23,-0.4926
2019-09-24,0.0
2019-09-25,-0.9901
2019-09-26,-1.5
2019-10-03,-1.0152
2019-10-08,1.5385
2019-10-11,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-18,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-28,0.0
2019-10-30,-1.0101
2019-10-31,1.0204
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,-0.8081
2019-11-06,0.3055
2019-11-07,0.0
2019-11-08,0.0
2019-11-11,0.0
2019-11-12,-1.5228000000000002
2019-11-13,0.5155
2019-11-14,-0.5128
2019-11-15,-0.5155
2019-11-18,0.0
2019-11-19,-2.5907
2019-11-20,2.6596
2019-11-21,0.0
2019-11-22,0.0
2019-11-25,0.5181
2019-11-26,0.0
2019-11-27,0.0
2019-11-29,-0.1031
2019-12-02,0.1032
2019-12-03,-1.0309
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-09,0.0
2019-12-10,0.1042
2019-12-11,-0.3122
2019-12-12,-1.357
2019-12-13,0.4233
2019-12-16,2.4236
2019-12-17,0.3086
2019-12-18,-0.2051
2019-12-19,0.1028
2019-12-20,-0.1027
2019-12-23,0.0
2019-12-24,-0.1028
2019-12-26,0.0
2019-12-27,0.3086
2019-12-30,2.5641
2019-12-31,5.5
2020-01-02,2.8436
2020-01-03,0.0
