ticker,NXTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-23,10100.0
2008-10-24,-0.9804
2008-10-30,0.0
2008-11-05,-45.5446
2008-11-25,83.6364
2009-01-12,100.0
2009-01-30,0.0
2009-02-04,0.0
2009-02-10,-49.505
2009-02-11,41.1765
2009-02-12,40.2778
2009-02-13,4.9505
2009-02-17,-4.717
2009-02-18,3.9604
2009-02-20,0.0
2009-02-23,0.0
2009-02-24,3.8095
2009-02-25,2.7523
2009-02-26,2.6786
2009-02-27,3.4783
2009-03-02,1.6806999999999999
2009-03-03,2.4793
2009-03-04,2.4194
2009-03-05,-1.5748
2009-03-06,1.6
2009-03-09,0.7874
2009-03-10,-1.5625
2009-03-11,0.7937
2009-03-12,-1.5748
2009-03-13,0.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-03-20,0.0
2009-03-23,3.2
2009-03-24,-3.1008
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-30,0.0
2009-03-31,-13.6
2009-04-01,13.8889
2009-04-02,-6.5041
2009-04-03,0.0
2009-04-06,-8.6957
2009-04-07,9.5238
2009-04-08,0.0
2009-04-09,-4.3478
2009-04-13,2.7273
2009-04-14,0.0
2009-04-15,-8.8496
2009-04-16,0.0
2009-04-17,5.8252
2009-04-20,0.9174
2009-04-21,0.0
2009-04-22,0.0
2009-04-23,14.5455
2009-04-24,-2.3810000000000002
2009-04-27,-6.5041
2009-04-28,0.0
2009-04-29,-11.3043
2009-04-30,7.8431
2009-05-01,5.4545
2009-05-04,-12.069
2009-05-05,1.9607999999999999
2009-05-06,-0.9615
2009-05-07,-1.9417
2009-05-08,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-14,0.0
2009-05-15,5.9406
2009-05-18,-5.6075
2009-05-19,0.0
2009-05-21,-5.9406
2009-05-26,10.526299999999999
2009-05-27,-4.7619
2009-05-29,1.0
2009-06-01,22.7723
2009-06-02,-35.4839
2009-06-03,26.25
2009-06-04,-19.802
2009-06-05,29.6296
2009-06-08,-22.8571
2009-06-10,-11.1111
2009-06-11,59.7222
2009-06-15,-12.1739
2009-06-17,7.9208
2009-06-18,-3.6696999999999997
2009-06-19,-31.4286
2009-06-22,38.8889
2009-06-23,5.0
2009-06-25,-1.6488
2009-06-26,-2.1969
2009-06-29,0.0
2009-06-30,-10.8911
2009-07-01,12.2222
2009-07-06,0.0
2009-07-07,0.9901
2009-07-08,0.0
2009-07-09,0.0
