ticker,SRSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-17,20.0
2009-06-18,25.0
2009-06-19,0.0
2009-07-01,-66.6667
2009-07-10,0.0
2009-07-14,0.0
2009-07-23,20.0
2009-07-28,0.0
2009-08-14,-16.6667
2009-08-17,0.0
2009-08-18,-20.0
2009-08-27,-75.0
2009-09-03,0.0
2009-09-04,0.0
2009-09-10,0.0
2009-09-14,0.0
2009-09-16,0.0
2009-09-17,50.0
2009-09-22,0.0
2009-09-24,6.6667
2009-09-29,-12.5
2009-10-16,0.0
2009-10-19,0.0
2009-10-29,-70.5357
2009-11-02,239.3939
2009-11-09,-70.5357
2009-11-12,239.3939
2009-11-13,-28.5714
2009-12-01,30.0
2009-12-02,-68.2692
2010-02-10,142.4242
2010-02-19,0.0
2010-02-26,-58.125
2010-03-15,210.4478
2010-03-25,-46.1538
2010-03-30,-28.5714
2010-04-06,100.0
2010-04-08,0.0
2010-04-13,0.0
2010-04-16,0.0
2010-05-10,0.0
2010-05-25,0.0
2010-06-03,0.0
2010-06-18,10.0
2010-06-24,-36.3636
2010-06-28,0.0
2010-07-15,0.0
2010-08-11,42.8571
2010-09-01,-50.0
2010-11-05,-16.25
2010-12-09,0.0
2010-12-22,-4.4776
2010-12-23,150.0
2010-12-27,-80.0
2010-12-30,300.0
2011-01-03,137.5
2011-01-04,0.0
2011-01-05,5.2632
2011-01-11,25.0
2011-01-18,-36.0
2011-01-19,-3.125
2011-01-26,-16.129
2011-01-28,0.0
2011-02-09,53.8462
2011-02-15,0.0
2011-02-25,15.0
2011-02-28,-43.4783
2011-04-26,53.8462
2011-04-28,0.0
2011-06-29,0.0
2011-08-26,-16.5625
2011-09-06,-88.015
2011-09-07,400.0
2011-09-23,100.0
2011-10-04,0.0
2011-10-05,-25.0
2011-10-06,-6.6667
2011-10-07,0.0
2011-10-25,0.0
2011-12-01,0.0
2012-03-08,0.0
2012-04-26,-50.0
2012-05-04,-7.1429
2012-05-30,30.7692
2012-06-04,64.7059
2012-10-22,-35.7143
2012-11-20,-44.4444
2013-02-14,210.0
2013-02-15,6.4516
2013-02-19,-27.2727
2013-02-20,-33.3333
2013-02-21,82.8125
2013-02-22,-11.1111
2013-02-27,0.0
2013-02-28,-7.6923
2013-03-04,16.6667
2013-03-05,21.4286
2013-03-06,-26.4706
2013-03-08,-12.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-18,0.0
2013-03-25,-9.0909
2013-03-26,0.0
2013-03-27,50.0
2013-04-08,-60.0
2013-04-09,-14.5833
2013-04-11,0.0
2013-04-12,-54.878
2013-11-25,222.1622
2013-11-26,-32.8859
2013-11-27,0.0
2013-12-23,-74.0
2013-12-24,284.6154
2013-12-26,0.0
2014-01-08,-50.0
2014-02-27,100.0
2014-03-27,40.0
2014-03-28,0.0
2014-03-31,78.5714
2014-04-21,-4.0
2014-04-22,-12.5
2014-04-28,-4.7619
2014-05-06,0.0
2014-05-13,-15.0
2014-05-14,0.0
2014-05-16,17.647100000000002
2014-05-20,-25.0
2014-05-28,0.0
2014-06-05,-13.3333
2014-06-11,7.6923
2014-07-16,0.0
2014-07-29,0.0
2014-08-06,0.0
2014-08-12,0.7143
2014-08-15,77.305
2014-08-18,32.8
2014-10-01,-51.8072
2014-10-03,0.0
2014-10-14,0.0
2015-05-19,9.375
2015-06-16,5.7143
2015-07-23,0.0
2015-07-31,-5.4054
2015-08-05,5.7143
2015-10-01,0.0
2015-11-12,0.0
2015-11-18,-5.4054
2015-11-25,0.0
2016-03-09,13.7143
2016-06-20,-9.5477
2016-08-02,0.0
2016-08-04,16.1111
2016-09-07,-13.8756
2016-09-23,0.0
2016-11-16,62.7778
2016-11-23,-7.8498
2016-11-28,-22.2222
2017-01-06,42.8571
2017-02-03,-26.6667
2017-02-08,-2.2727
2017-02-27,4.6512
2017-03-17,77.7778
2017-03-20,-32.5
2017-03-23,48.1481
2017-05-16,-2.5
2017-05-18,-20.5128
2018-05-09,29.0323
2018-05-18,-2.5
2018-07-31,8.9744
2018-08-07,-1.1764999999999999
2018-08-20,-11.9048
2018-08-31,-1.3514
2018-09-14,0.0
2018-09-28,-17.8082
2018-10-01,0.0
2018-10-02,18.3333
2018-10-26,-8.4507
2018-11-05,7.6923
2018-11-06,-14.2857
2018-11-07,-5.0
2019-01-02,-8.7719
2019-10-11,-36.5385
