ticker,ZMRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-01,0.0
2004-06-02,-2.3333
2004-06-03,0.0
2004-06-04,0.0
2004-06-10,0.0
2004-06-28,2.3891
2004-06-30,0.0
2004-07-09,0.0
2004-09-03,0.0
2004-11-01,0.0
2004-12-10,0.0
2005-06-01,-91.6667
2006-01-23,500.0
2006-01-27,0.0
2006-02-01,0.0
2006-05-26,-72.6667
2006-05-30,0.0
2006-06-08,631.7073
2006-07-06,0.0
2006-07-14,-88.3333
2006-07-21,14.2857
2006-07-25,650.0
2006-08-10,0.0
2006-08-16,0.0
2006-08-30,0.0
2006-09-20,0.0
2006-09-22,0.0
2006-09-27,0.0
2006-10-03,0.0
2006-10-10,0.0
2006-11-16,-50.0
2006-12-18,0.0
2007-01-03,-76.6667
2007-01-08,328.5714
2007-02-06,0.0
2007-02-21,-73.3333
2007-02-22,0.0
2007-05-08,525.0
2007-06-11,0.0
2007-06-28,-30.0
2007-07-03,14.2857
2007-07-26,-47.5
2007-11-19,-42.8571
2007-12-27,-15.0
2008-01-11,98.0392
2008-01-18,0.0
2008-01-22,-25.7426
2008-01-30,0.0
2008-04-30,100.0
2008-05-08,16.6667
2008-05-15,-14.2857
2008-05-20,-32.6667
2008-10-06,-49.505
2008-10-29,98.0392
2008-12-11,-49.505
2008-12-16,96.0784
2008-12-30,1.0
2009-01-08,0.0
2009-01-12,-43.5644
2009-01-14,161.4035
2009-02-04,-61.745
2009-02-06,110.5263
2009-02-17,0.0
2009-04-01,-68.3333
2009-04-02,-2.6316
2009-04-03,110.8108
2009-04-06,28.2051
2009-04-07,-59.0
2009-04-08,-2.439
2009-04-09,0.0
2009-04-15,150.0
2009-04-16,-65.0
2009-04-17,168.5714
2009-04-20,6.383
2009-04-21,-59.9
2009-04-24,-12.7182
2009-04-30,165.7143
2009-05-08,-5.3763
2009-06-18,-71.5909
2009-06-22,8.0
2009-06-25,-3.7037
2009-07-08,-57.6923
2009-07-10,36.3636
2009-07-20,0.0
2009-07-24,0.0
2009-07-28,6.6667
2009-07-31,118.75
2009-08-04,-60.0
2009-08-14,150.0
2009-08-18,-28.5714
2009-08-21,20.0
2009-08-24,-66.6667
2009-08-25,0.0
2009-09-04,0.0
2009-09-11,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-10-02,0.0
2009-10-07,150.0
2009-10-08,-40.0
2009-10-09,0.0
2009-10-12,0.0
2009-10-27,-13.3333
2009-11-13,-61.5385
2009-12-16,0.0
