ticker,BGRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-12,5.2632
2011-10-13,5.0
2011-10-14,11.5646
2011-10-17,-0.3049
2011-10-18,-0.3058
2011-10-19,-0.3067
2011-10-20,-1.5385
2011-10-21,3.125
2011-10-24,0.0
2011-10-26,-1.3333
2011-10-27,3.8084
2011-10-28,-2.3669000000000002
2011-10-31,2.7273
2011-11-02,-4.1298
2011-11-03,4.6154
2011-11-07,-2.9412000000000003
2011-11-08,-3.0303
2011-11-10,0.0
2011-11-11,0.3125
2011-11-14,-0.3115
2011-11-21,-3.9063
2011-11-29,-1.7886
2011-11-30,-0.6623
2011-12-01,-0.3333
2011-12-02,1.9731999999999998
2011-12-05,2.3286
2011-12-06,0.9615
2011-12-07,0.0
2011-12-08,1.5873
2011-12-09,0.0
2011-12-13,-1.5625
2011-12-14,0.0
2011-12-15,3.8095
2011-12-16,1.5291000000000001
2011-12-19,-0.6024
2011-12-20,1.3333
2011-12-21,0.1794
2011-12-22,0.0
2011-12-23,1.4925
2011-12-28,-2.3529
2011-12-30,0.0
2012-01-03,0.9036
2012-01-04,1.5522
2012-01-05,-0.0588
2012-01-06,0.4706
2012-01-09,-0.4684
2012-01-10,0.8824
2012-01-11,7.5802
2012-01-12,0.813
2012-01-13,-1.3441
2012-01-17,0.8174
2012-01-18,0.8108
2012-01-19,-0.8043
2012-01-20,0.2703
2012-01-23,2.4259
2012-01-24,-0.2632
2012-01-26,0.2639
2012-01-27,0.0
2012-01-31,1.5789
2012-02-01,3.1088
2012-02-02,-0.2513
2012-02-03,0.7557
2012-02-06,0.75
2012-02-07,-2.7295
2012-02-08,1.5306
2012-02-09,-0.7538
2012-02-10,-1.2658
2012-02-13,1.7949000000000002
2012-02-14,0.0
2012-02-15,0.0
2012-02-16,-1.2594
2012-02-17,1.0204
2012-02-21,0.7576
2012-02-22,-0.5013
2012-02-23,0.0
2012-02-24,-0.5038
2012-02-27,0.2532
2012-02-28,0.2525
2012-02-29,-0.5038
2012-03-01,0.2532
2012-03-02,-1.5152
2012-03-05,2.3077
2012-03-06,-0.5013
2012-03-07,1.2594
2012-03-08,-0.4975
2012-03-09,1.25
2012-03-12,1.2346
2012-03-13,0.7317
2012-03-14,0.4843
2012-03-15,2.4096
2012-03-16,0.8471
2012-03-19,0.3266
2012-03-21,0.6977
2012-03-26,-0.6928
2012-03-27,1.1628
2012-03-28,0.0
2012-03-29,1.1494
2012-03-30,0.9091
2012-04-02,1.3514
2012-04-03,1.0222
