ticker,SIMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-30,0.0
2005-07-01,1.5238
2005-07-05,0.469
2005-07-06,2.0542
2005-07-07,-7.5938
2005-07-08,-0.297
2005-07-11,-4.4687
2005-07-12,-4.8857
2005-07-13,5.9016
2005-07-14,3.9215999999999998
2005-07-15,2.284
2005-07-18,1.165
2005-07-19,0.2879
2005-07-20,-1.3397000000000001
2005-07-21,-2.5218
2005-07-22,1.4925
2005-07-25,2.9412000000000003
2005-07-26,0.0
2005-07-27,2.3810000000000002
2005-07-28,4.9302
2005-07-29,-7.4468
2005-08-01,1.8199
2005-08-02,-4.0452
2005-08-03,0.1961
2005-08-04,-0.5871
2005-08-05,-0.1969
2005-08-08,3.0572
2005-08-09,-1.3397000000000001
2005-08-10,2.3278
2005-08-11,3.7915
2005-08-12,-3.653
2005-08-15,0.8531
2005-08-16,-0.3759
2005-08-17,-0.9434
2005-08-18,-5.3333
2005-08-19,1.3078
2005-08-22,1.291
2005-08-23,3.4314
2005-08-24,2.3697
2005-08-25,4.9074
2005-08-26,3.2127
2005-08-29,-1.83
2005-08-30,0.0871
2005-08-31,-2.6109999999999998
2005-09-01,1.0724
2005-09-02,-0.6189
2005-09-06,-1.4235
2005-09-07,3.7545
2005-09-08,-5.6193
2005-09-09,2.1198
2005-09-12,6.8591999999999995
2005-09-13,6.8412
2005-09-14,7.1937
2005-09-15,-4.646
2005-09-16,-1.8561
2005-09-19,5.2797
2005-09-20,0.4491
2005-09-21,2.7571
2005-09-22,0.7252
2005-09-23,4.2477
2005-09-26,-0.4144
2005-09-27,0.208
2005-09-28,-0.4152
2005-09-29,0.0
2005-09-30,6.3238
2005-10-03,0.0654
2005-10-04,1.241
2005-10-05,-3.3484
2005-10-06,-7.5496
2005-10-07,2.8881
2005-10-10,-0.3509
2005-10-11,-3.8028
2005-10-12,-4.7584
2005-10-13,1.6141
2005-10-14,0.6051
2005-10-17,3.7594
2005-10-18,-4.058
2005-10-19,-7.0997
2005-10-20,1.5447
2005-10-21,6.4051
2005-10-24,0.5267
2005-10-25,3.8174
2005-10-26,4.9748
2005-10-27,-7.761
2005-10-28,-1.4147
2005-10-31,8.6103
2005-11-01,0.1391
2005-11-02,0.9028
2005-11-03,0.4129
2005-11-04,1.0281
2005-11-07,-1.6961
2005-11-08,2.1394
2005-11-09,-1.9595
2005-11-10,-1.9986000000000002
2005-11-11,-2.166
2005-11-14,4.586
2005-11-15,2.1306
2005-11-16,-3.432
