ticker,ENLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-13,30.2564
2004-01-14,-0.748
2004-01-15,-0.5157
2004-01-16,-0.319
2004-01-20,0.32
2004-01-21,0.6778
2004-01-22,2.9307
2004-01-23,4.2324
2004-01-26,0.5906
2004-01-27,1.2844
2004-01-28,2.3913
2004-01-29,-0.7431
2004-01-30,0.1783
2004-02-02,0.0
2004-02-03,0.8897
2004-02-04,1.8695
2004-02-05,0.7618
2004-02-06,1.0997
2004-02-09,0.034
2004-02-10,2.9901
2004-02-11,3.9261
2004-02-12,4.127
2004-02-13,-3.6585
2004-02-17,5.8228
2004-02-18,5.1435
2004-02-19,-0.3982
2004-02-20,-0.2284
2004-02-23,3.6062
2004-02-24,3.0387
2004-02-25,0.8579
2004-02-26,0.2127
2004-02-27,3.4748
2004-03-01,7.0238
2004-03-02,-1.0539
2004-03-03,-0.7504
2004-03-04,-1.7073
2004-03-05,-2.3077
2004-03-08,-1.7018
2004-03-09,0.2842
2004-03-10,-2.9116
2004-03-11,-0.1592
2004-03-12,4.9149
2004-03-15,-2.1764
2004-03-16,3.1598
2004-03-17,-1.3307
2004-03-18,0.458
2004-03-19,-1.0892
2004-03-22,3.201
2004-03-23,-0.9181
2004-03-24,2.0536
2004-03-25,1.8405
2004-03-26,-0.8434
2004-03-29,0.6075
2004-03-30,1.4493
2004-03-31,-0.119
2004-04-01,0.3576
2004-04-02,-0.1425
2004-04-05,-0.7136
2004-04-06,-0.575
2004-04-07,1.4699
2004-04-08,-0.5937
2004-04-12,-1.2183
2004-04-13,-2.6602
2004-04-14,-2.4099
2004-04-15,2.3422
2004-04-16,-0.0249
2004-04-19,-0.5225
2004-04-20,-0.1751
2004-04-21,-2.2801
2004-04-22,-0.3846
2004-04-23,0.4376
2004-04-26,1.4864
2004-04-27,0.3788
2004-04-28,3.1447
2004-04-29,-0.122
2004-04-30,0.6888
2004-05-03,3.4693
2004-05-04,1.5348000000000002
2004-05-05,1.3953
2004-05-06,0.0459
2004-05-07,-0.4356
2004-05-10,-1.5197
2004-05-11,1.5665
2004-05-12,-0.6676
2004-05-13,-3.5921
2004-05-14,0.8413
2004-05-17,-0.3838
2004-05-18,-0.5719
2004-05-19,0.722
2004-05-20,-0.8363
2004-05-21,2.3614
2004-05-24,0.5885
2004-05-25,-1.7786
2004-05-26,-0.1668
2004-05-27,0.2864
2004-05-28,-0.9519
2004-06-01,1.0332
2004-06-02,1.9738
2004-06-03,-3.195
2004-06-04,2.9872
