ticker,BIZM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-16,7.8431
2013-05-17,4.5455
2013-05-20,4.3478
2013-05-21,4.1667
2013-05-23,4.0
2013-05-24,2.3077
2013-05-28,5.2632
2013-05-29,2.1429
2013-05-30,2.0979
2013-05-31,1.3699
2013-06-03,4.7297
2013-06-04,3.2258
2013-06-05,3.125
2013-06-06,3.0303
2013-06-07,4.1176
2013-06-10,24.2938
2013-06-11,36.3636
2013-06-12,-6.0
2013-06-13,7.8014
2013-06-14,5.2632
2013-06-17,15.625
2013-06-18,15.4054
2013-06-19,-8.1967
2013-06-20,-19.898
2013-06-21,1.2739
2013-06-24,8.4906
2013-07-10,-87.2464
2013-07-11,-34.0909
2013-07-12,-44.8276
2013-07-15,243.75
2013-07-16,0.0
2013-07-17,-9.0909
2013-07-18,-20.0
2013-07-19,-22.5
2013-07-22,-3.2258
2013-07-23,13.3333
2013-07-24,20.5882
2013-07-25,9.7561
2013-07-26,1.1111
2013-07-29,3.2967
2013-07-30,-4.2553
2013-07-31,-17.7778
2013-08-01,8.1081
2013-08-02,0.0
2013-08-05,7.5
2013-08-06,-6.9767
2013-08-07,2.5
2013-08-08,-17.0732
2013-08-09,0.0
2013-08-12,5.8824
2013-08-13,19.4444
2013-08-14,-13.9535
2013-08-15,8.1081
2013-08-16,-12.5
2013-08-19,5.7143
2013-08-20,8.1081
2013-08-21,-12.5
2013-08-22,-2.8571
2013-08-23,-2.9412000000000003
2013-08-26,18.1818
2013-08-27,-12.8205
2013-08-28,-2.9412000000000003
2013-08-29,0.0
2013-08-30,3.0303
2013-09-03,14.7059
2013-09-04,-2.5641
2013-09-05,-10.526299999999999
2013-09-06,5.8824
2013-09-09,-2.7778
2013-09-11,8.5714
2013-09-12,-21.0526
2013-09-13,3.3333
2013-09-16,-32.2581
2013-09-17,33.3333
2013-09-18,-7.1429
2013-09-19,26.9231
2013-09-20,-36.3636
2013-09-23,19.0476
2013-09-24,-16.0
2013-09-25,9.5238
2013-09-26,8.6957
2013-10-01,-32.0
2013-10-02,13.5294
2013-10-03,19.171
2013-10-04,-34.7826
2013-10-07,40.0
2013-10-09,-4.7619
2013-10-10,-5.0
2013-10-11,-5.2632
2013-10-14,41.6667
2013-10-15,-25.4902
2013-10-16,0.0
2013-10-17,-21.0526
2013-10-18,20.0
2013-10-22,16.6667
2013-10-23,-19.0476
2013-10-24,0.0
2013-10-25,0.0
2013-10-28,5.8824
2013-10-29,-2.7778
2013-10-30,-2.8571
