ticker,GRPEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-18,-0.8475
2013-09-25,0.4274
2013-09-30,2.1277
2013-10-04,-14.1667
2013-10-07,-11.165
2013-10-10,0.0
2013-10-28,27.8689
2013-10-29,6.8376
2013-11-01,-5.6
2013-11-04,-5.0847
2013-11-08,-1.7856999999999998
2013-11-13,0.0
2013-11-18,-0.9091
2013-11-20,0.9174
2013-11-21,-8.3011
2013-11-22,7.0698
2013-11-26,-4.1667
2013-12-03,7.6027000000000005
2013-12-04,14.9335
2013-12-05,-0.7813
2013-12-06,-9.4488
2013-12-10,0.8696
2013-12-17,10.3448
2013-12-18,-1.5625
2013-12-19,17.4603
2013-12-20,6.0811
2013-12-23,11.465
2013-12-26,26.8571
2013-12-27,-8.5586
2013-12-30,-9.3596
2013-12-31,14.1304
2014-01-02,-5.7143
2014-01-03,-2.0202
2014-01-06,0.0
2014-01-07,-7.732
2014-01-08,-7.8212
2014-01-09,-1.8182
2014-01-10,-6.7901
2014-01-13,1.9868000000000001
2014-01-14,5.8442
2014-01-16,-2.454
2014-01-21,-10.0629
2014-01-22,-4.1958
2014-01-28,19.4617
2014-01-29,12.4265
2014-01-30,-2.7174
2014-01-31,0.0
2014-02-04,-1.6760000000000002
2014-02-05,7.9545
2014-02-07,-6.8421
2014-02-10,1.6949
2014-02-11,0.0
2014-02-13,-5.5556
2014-02-19,5.8824
2014-02-20,-4.4444
2014-02-24,-6.3953
2014-02-26,8.6957
2014-02-27,-4.5714
2014-02-28,7.7844
2014-03-03,-5.0
2014-03-04,0.72
2014-03-05,1.027
2014-03-06,-0.5747
2014-03-07,7.5145
2014-03-10,-2.1505
2014-03-11,0.0
2014-03-12,-4.9451
2014-03-13,6.9364
2014-03-14,-8.1081
2014-03-18,0.5882
2014-03-19,-8.1871
2014-03-21,7.0064
2014-03-24,-0.5952
2014-03-26,-2.7769
2014-04-04,-4.5346
2014-04-08,13.5484
2014-04-09,1.1364
2014-04-14,6.7416
2014-04-15,-5.2632
2014-04-16,3.8889
2014-04-17,-2.6738
2014-04-21,0.0
2014-04-22,-4.9451
2014-04-23,-0.578
2014-04-24,0.5814
2014-04-25,-1.1561
2014-04-29,-8.1871
2014-04-30,0.0
2014-05-01,-29.9363
2014-05-05,25.1818
2014-05-06,-7.2622
2014-05-08,4.9334
2014-05-09,-2.9851
2014-05-12,-3.8462
2014-05-13,-3.2
2014-05-14,4.9587
2014-05-15,-0.7874
2014-05-16,-4.7619
