ticker,EMMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-17,-52.0
2016-11-23,8.3333
2016-12-08,15.3846
2017-01-27,-20.0
2017-01-30,75.0
2017-02-02,226.1905
2017-02-03,-25.5474
2017-02-06,-21.5686
2017-02-07,-13.5
2017-02-08,15.6069
2017-02-09,-10.5
2017-02-10,-18.9944
2017-02-13,103.4483
2017-02-14,9.322
2017-02-15,12.4031
2017-02-16,10.3448
2017-02-17,2.5
2017-02-21,10.3659
2017-02-22,21.547
2017-02-23,17.2727
2017-02-24,16.2791
2017-02-27,17.3333
2017-02-28,9.6591
2017-03-01,5.6995000000000005
2017-03-02,13.7255
2017-03-03,12.069
2017-03-06,-70.7644
2017-03-07,97.336
2017-03-08,3.3333
2017-03-09,12.9032
2017-03-10,7.4286
2017-03-13,4.2553
2017-03-14,1.5306
2017-03-15,2.0101
2017-03-16,14.7783
2017-03-17,9.0129
2017-03-20,7.0866
2017-03-21,13.6029
2017-03-22,10.356
2017-03-23,12.9032
2017-03-24,-15.3247
2017-03-27,14.4172
2017-03-28,-0.5362
2017-03-29,-12.1294
2017-03-30,7.362
2017-03-31,3.1429
2017-04-03,-40.1662
2017-04-19,-91.2037
2017-04-20,31.5789
2017-04-21,-20.0
2017-04-24,-15.0
2017-04-25,-11.7647
2017-04-26,-46.0
2017-04-27,-38.2716
2017-04-28,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,2.0
2017-05-05,135.2941
2017-05-08,141.6667
2017-05-09,68.9655
2017-05-10,-38.7755
2017-05-11,3.3333
2017-05-12,12.9032
2017-05-15,25.7143
2017-05-16,-22.7273
2017-05-17,-26.4706
2017-05-19,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-25,-56.0
2017-05-26,0.0
2017-05-30,81.8182
2017-05-31,-50.0
2017-06-01,0.0
2017-06-02,20.0
2017-06-05,25.0
2017-06-06,-3.3333
2017-06-07,-17.2414
2017-06-09,-8.3333
2017-06-13,-38.1818
2017-06-15,10.2941
2017-06-16,0.0
2017-06-19,-6.6667
2017-06-20,-14.2857
2017-06-21,0.0
2017-06-22,-16.6667
2017-06-23,80.0
2017-06-26,-44.4444
2017-06-27,0.0
2017-06-28,40.0
2017-07-07,-27.1429
2017-07-10,0.0
2017-07-11,37.2549
2017-07-12,0.0
2017-07-14,-2.8571
2017-07-17,-11.7647
2017-07-18,16.6667
2017-07-19,0.0
2017-07-21,-12.857099999999999
2017-07-24,-18.0328
