ticker,CREE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6837
2000-01-04,-8.7863
2000-01-05,-2.2041
2000-01-06,-10.9349
2000-01-07,11.059
2000-01-10,11.73
2000-01-11,-3.852
2000-01-12,5.106
2000-01-13,1.8685
2000-01-14,1.2472
2000-01-18,5.1449
2000-01-19,4.3418
2000-01-20,4.8877
2000-01-21,3.5263999999999998
2000-01-24,-11.0706
2000-01-25,14.0903
2000-01-26,0.7194
2000-01-27,1.0714
2000-01-28,-5.3004
2000-01-31,-6.3433
2000-02-01,11.6866
2000-02-02,14.1498
2000-02-03,15.8333
2000-02-04,3.1025
2000-02-07,5.1461
2000-02-08,-5.226
2000-02-09,0.1313
2000-02-10,12.2378
2000-02-11,-0.1168
2000-02-14,13.3723
2000-02-15,-1.1004
2000-02-16,6.2587
2000-02-17,-0.4581
2000-02-18,-11.144
2000-02-22,-0.074
2000-02-23,-1.2218
2000-02-24,-0.6372
2000-02-25,6.1486
2000-02-28,-1.7768000000000002
2000-02-29,8.7554
2000-03-01,5.489
2000-03-02,-8.8616
2000-03-03,6.8512
2000-03-06,-1.8135
2000-03-07,-2.7704
2000-03-08,0.4071
2000-03-09,4.3243
2000-03-10,0.5181
2000-03-13,-4.3492
2000-03-14,-0.9768
2000-03-15,-11.2925
2000-03-16,-7.5537
2000-03-17,0.4562
2000-03-20,1.5276999999999998
2000-03-21,5.0834
2000-03-22,6.5015
2000-03-23,-2.6163
2000-03-24,0.1866
2000-03-27,-4.3203
2000-03-28,-3.9314999999999998
2000-03-29,-9.1977
2000-03-30,-12.1821
2000-03-31,-8.2317
2000-04-03,-7.0321
2000-04-04,7.6831
2000-04-05,15.4867
2000-04-06,-5.0287
2000-04-07,1.9667
2000-04-10,-7.814
2000-04-11,-9.2275
2000-04-12,-1.5957
2000-04-13,-1.021
2000-04-14,-13.5922
2000-04-17,8.9888
2000-04-18,10.5026
2000-04-19,6.7055
2000-04-20,4.0437
2000-04-24,-4.2017
2000-04-25,8.9912
2000-04-26,3.0181
2000-04-27,7.4219
2000-04-28,5.8182
2000-05-01,0.3436
2000-05-02,-11.6438
2000-05-03,0.5208
2000-05-04,-0.9037
2000-05-05,8.3658
2000-05-08,-5.5655
2000-05-09,-5.5133
2000-05-10,-8.2495
2000-05-11,6.6886
2000-05-12,8.8386
2000-05-15,-5.949
2000-05-16,8.1827
2000-05-17,-0.232
2000-05-18,-3.2093
2000-05-19,-6.1028
2000-05-22,-3.7871
