ticker,DENR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-09,0.0
2010-04-07,-20.0
2010-06-18,-6.25
2010-11-04,-33.3333
2010-11-24,0.0
2010-12-10,0.0
2011-03-04,55.0
2011-07-12,0.0
2012-04-02,29.0323
2013-02-04,125.0
2013-03-18,28.8889
2013-03-21,-12.069
2013-03-22,0.0
2013-03-25,0.0
2013-03-28,-19.6078
2013-04-05,-2.439
2013-06-13,0.0
2013-07-09,0.0
2014-02-26,27.5
2014-02-27,-11.7647
2014-03-05,0.0
2014-03-17,-11.1111
2014-04-17,50.0
2014-05-05,0.0
2014-05-12,-33.3333
2014-07-29,10.0
2014-12-01,-9.0909
2014-12-09,0.0
2015-01-22,-37.5
2015-03-19,40.0
2015-03-20,17.1429
2015-03-24,9.7561
2015-03-25,11.1111
2015-04-06,20.0
2015-04-07,-16.6667
2015-04-09,0.0
2015-04-10,-8.0
2015-04-15,8.6957
2015-04-22,0.0
2015-05-05,2.0
2015-05-06,0.0
2015-05-14,0.0
2015-06-02,7.8431
2015-06-03,1.8182
2015-06-05,16.0714
2015-06-15,23.0769
2015-07-10,25.0
2015-07-23,-25.0
2015-09-15,-20.0
2015-10-15,8.3333
2015-10-27,-30.7692
2015-10-28,-8.8889
2015-11-02,-2.439
2015-11-10,-5.0
2015-11-11,31.5789
2015-11-12,20.0
2015-11-13,0.0
2015-11-17,-8.3333
2015-11-19,-9.0909
2015-11-23,0.0
2015-12-08,-20.0
2015-12-09,0.0
2015-12-14,-23.6563
2015-12-15,30.9865
2016-01-08,-12.5
2016-01-27,-28.5714
2016-01-28,12.0
2016-01-29,0.0
2016-02-01,-10.7143
2016-02-03,0.0
2016-02-10,12.0
2016-02-11,-46.4286
2016-02-12,0.0
2016-02-16,33.3333
2016-02-17,50.0
2016-02-18,16.6667
2016-02-19,0.0
2016-02-23,14.2857
2016-02-29,-12.5
2016-03-02,14.2857
2016-03-07,22.5
2016-03-10,-2.0408
2016-03-11,-6.25
2016-03-15,-11.1111
2016-03-17,-7.5
2016-03-21,0.0
2016-03-24,0.0
2016-03-31,0.0
2016-04-01,-5.4054
2016-04-18,-14.2857
2016-04-20,-14.8958
2016-04-26,4.896
2016-05-18,-2.9172000000000002
2016-07-28,-3.8462
2016-10-20,0.0
2016-11-15,-20.0
2017-01-26,22.5
2017-01-27,2.0408
2017-01-31,0.0
2017-02-03,-12.0
2017-02-16,10.5114
2017-02-17,2.8278
2017-03-10,0.0
2017-03-16,-33.875
