ticker,LIZI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-17,5.7273
2020-01-21,-6.4488
2020-01-22,0.5515
2020-01-23,1.0055
2020-01-24,0.4525
2020-01-27,-0.9009
2020-01-28,1.0909
2020-01-29,-1.0791
2020-01-30,0.0
2020-01-31,0.7273
2020-02-03,-0.722
2020-02-04,0.0909
2020-02-05,-0.0908
2020-02-06,-4.3636
2020-02-07,5.5133
2020-02-10,-0.9009
2020-02-11,0.0
2020-02-12,-0.8182
2020-02-13,-2.8414
2020-02-14,-3.4906
2020-02-18,-1.173
2020-02-19,-3.0663
2020-02-20,0.8163
2020-02-21,-3.2389
2020-02-24,-4.6025
2020-02-25,3.6184
2020-02-26,-2.4339
2020-02-27,3.0369
2020-02-28,-2.2105
2020-03-02,-1.0764
2020-03-03,1.3058
2020-03-04,-0.1074
2020-03-05,-2.1505
2020-03-06,2.1978
2020-03-09,-11.3978
2020-03-10,1.335
2020-03-11,5.3892
2020-03-12,-30.1136
2020-03-13,0.813
2020-03-16,-1.129
2020-03-17,2.9364
2020-03-18,-1.7433
2020-03-19,0.8065
2020-03-20,3.68
2020-03-23,6.4815
2020-03-24,5.7971
2020-03-25,4.7945
2020-03-26,8.366
2020-03-27,-5.4282
2020-03-30,-10.7143
2020-03-31,0.0
2020-04-01,1.2857
2020-04-02,1.4104
2020-04-03,-4.1725
2020-04-06,-3.3382
2020-04-07,-7.3574
2020-04-08,0.8104
2020-04-09,-4.1801
2020-04-13,-1.5101
2020-04-14,-2.8961
2020-04-15,-18.2456
2020-04-16,-7.7253
2020-04-17,11.6279
2020-04-20,8.9583
2020-04-21,-6.1185
2020-04-22,5.9063
2020-04-23,-2.5
2020-04-24,0.1972
2020-04-27,2.9528
2020-04-28,-0.1912
2020-04-29,3.0651
2020-04-30,-0.3717
2020-05-01,-6.3433
2020-05-04,4.3825
2020-05-05,-4.3893
2020-05-06,-6.1876
2020-05-07,-1.0638
2020-05-08,3.2258
2020-05-11,1.0417
2020-05-12,-5.1546
2020-05-13,-1.7391
2020-05-14,-1.3274
2020-05-15,1.7936999999999999
2020-05-18,3.5242
2020-05-19,1.0638
2020-05-20,2.3937
2020-05-21,-2.3377
2020-05-22,-8.4211
2020-05-26,1.1494
2020-05-27,-3.4091
2020-05-28,-2.1176
2020-05-29,-1.4423
2020-06-01,-1.2195
2020-06-02,5.5556
2020-06-03,3.8596
2020-06-04,2.5901
2020-06-05,1.2075
2020-06-08,3.2538
2020-06-09,23.1092
2020-06-10,0.6826
2020-06-11,-13.0525
2020-06-12,5.2652
2020-06-15,-2.5907
2020-06-16,-3.4239
2020-06-17,3.9370000000000003
2020-06-18,13.8258
2020-06-19,-0.4992
2020-06-22,-4.0134
2020-06-23,-4.5296
2020-06-24,1.4599
2020-06-25,0.0
2020-06-26,-5.036
2020-06-29,1.4205
2020-06-30,0.0934
2020-07-01,0.0019
2020-07-02,-1.4944
2020-07-06,6.4394
2020-07-07,0.0
2020-07-08,3.2028
2020-07-09,1.2069
2020-07-10,1.0221
2020-07-13,38.2799
2020-07-14,-15.7317
2020-07-15,1.3025
2020-07-16,1.0
2020-07-17,-2.1216
2020-07-20,2.1676
2020-07-21,-3.6775
2020-07-22,-5.4317
2020-07-23,-4.5046
2020-07-24,-4.065
2020-07-27,-5.2542
2020-07-28,-2.6834
2020-07-29,0.7353
2020-07-30,-2.7372
2020-07-31,2.2514
