ticker,ATHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-12,0.0
2008-11-14,-1.0989
2010-11-29,-98.8889
2011-03-16,2000.0
2011-03-17,-51.4286
2011-03-18,105.8824
2011-03-21,0.0
2011-03-25,-4.7619
2011-04-07,-45.0
2011-04-13,90.9091
2011-04-14,-47.619
2011-05-04,-7.2727
2011-05-23,-50.9804
2011-05-31,-60.0
2011-06-01,0.0
2011-06-07,-50.0
2011-06-13,0.0
2011-06-16,100.0
2011-06-17,50.0
2011-06-29,-66.6667
2011-06-30,100.0
2011-07-20,-40.0
2011-07-21,0.0
2011-07-25,0.0
2011-08-01,0.0
2011-08-08,66.6667
2011-08-09,30.0
2011-08-10,92.3077
2011-08-11,4.0
2011-08-12,0.0
2011-08-15,73.0769
2011-08-16,-11.1111
2011-08-17,15.0
2011-08-18,0.0
2011-08-23,-63.0435
2011-08-24,76.4706
2011-08-26,-16.6667
2011-08-29,-6.0
2011-08-30,-43.8298
2011-08-31,-56.1553
2011-09-01,-27.4298
2011-09-02,-7.1429
2011-09-06,78.6859
2011-09-07,-19.6413
2011-09-08,-17.8571
2011-09-09,-10.8696
2011-09-12,-2.7439
2011-09-13,-17.2414
2011-09-14,21.2121
2011-09-15,-22.5
2011-09-16,1.6129
2011-09-19,11.1111
2011-09-20,-8.5714
2011-09-21,-34.375
2011-09-22,19.0476
2011-09-23,-20.0
2011-09-26,-9.375
2011-09-27,32.4138
2011-09-28,16.6667
2011-09-29,10.7143
2011-09-30,-3.2258
2011-10-03,-3.9583
2011-10-04,-9.7614
2011-10-05,5.2885
2011-10-06,-8.6758
2011-10-07,-24.0
2011-10-10,3.2895
2011-10-11,-1.2739
2011-10-12,-12.9032
2011-10-13,-13.3333
2011-10-14,-2.9915000000000003
2011-10-17,-9.6916
2011-10-18,20.0
2011-10-19,10.5691
2011-10-21,-8.8235
2011-10-24,9.6774
2011-10-25,-0.7353
2011-10-26,-5.1852
2011-10-27,-6.25
2011-10-28,34.5833
2011-10-31,13.9319
2011-11-01,-4.3478
2011-11-02,-18.1818
2011-11-03,11.1111
2011-11-04,-10.625
2011-11-07,-5.9441
2011-11-08,-0.7435
2011-11-09,-1.8727
2011-11-10,-8.3969
2011-11-11,20.0
2011-11-14,-2.7778
2011-11-15,7.5
2011-11-16,-54.1528
2011-11-17,-21.0145
2011-11-18,2.7523
2011-11-21,7.1429
2011-11-22,0.0
2011-11-23,-31.6667
2011-11-25,17.0732
2011-11-28,-39.5833
