ticker,WBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3872999999999998
2000-01-04,-4.6196
2000-01-05,4.2735
2000-01-06,0.8197
2000-01-07,4.878
2000-01-10,-2.7132
2000-01-11,-5.1793
2000-01-12,-0.9804
2000-01-13,3.2532
2000-01-14,-0.274
2000-01-18,-2.7473
2000-01-19,-1.4123999999999999
2000-01-20,3.1519
2000-01-21,-0.2778
2000-01-24,-5.571
2000-01-25,3.2448
2000-01-26,1.1429
2000-01-27,2.8249
2000-01-28,1.7143000000000002
2000-01-31,1.087
2000-02-01,2.957
2000-02-02,-2.0888
2000-02-03,0.8
2000-02-04,-1.3228
2000-02-07,-0.5362
2000-02-08,0.0
2000-02-09,-3.7736
2000-02-10,-0.8403
2000-02-11,-0.565
2000-02-14,-0.5682
2000-02-15,1.4285999999999999
2000-02-16,-1.6901000000000002
2000-02-17,-1.1461000000000001
2000-02-18,-1.7391
2000-02-22,-0.59
2000-02-23,2.3739
2000-02-24,-2.8986
2000-02-25,0.0
2000-02-28,-0.8955
2000-02-29,1.8072
2000-03-01,0.5917
2000-03-02,-1.4706000000000001
2000-03-03,-1.194
2000-03-06,-0.3021
2000-03-07,-2.4242
2000-03-08,0.0
2000-03-09,1.2422
2000-03-10,-0.9202
2000-03-13,-0.3096
2000-03-14,0.4658
2000-03-15,11.2828
2000-03-16,3.8889
2000-03-17,-2.9412000000000003
2000-03-20,-3.0303
2000-03-21,-1.4205
2000-03-22,0.8646
2000-03-23,1.4285999999999999
2000-03-24,0.8451
2000-03-27,-1.6760000000000002
2000-03-28,0.0
2000-03-29,-1.1364
2000-03-30,0.8621
2000-03-31,4.8433
2000-04-03,0.8152
2000-04-04,-0.8086
2000-04-05,-1.6303999999999998
2000-04-06,0.5525
2000-04-07,-3.8462
2000-04-10,-0.2857
2000-04-11,-1.2894
2000-04-12,1.3062
2000-04-13,-1.4327
2000-04-14,-4.9419
2000-04-17,1.2232
2000-04-18,2.719
2000-04-19,-0.5882
2000-04-20,-0.2959
2000-04-24,0.0
2000-04-25,6.2315
2000-04-26,-2.2346
2000-04-27,-2.0
2000-04-28,0.4548
2000-05-01,3.5088
2000-05-02,-3.9548
2000-05-03,0.8824
2000-05-04,1.4577
2000-05-05,-0.5747
2000-05-08,0.289
2000-05-09,0.2882
2000-05-10,-1.1494
2000-05-11,3.4884
2000-05-12,-0.2809
2000-05-15,1.1268
2000-05-16,1.6713
2000-05-17,-3.0137
2000-05-18,1.1299
