ticker,TURV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-13,-33.3333
2007-09-14,100.0
2007-09-17,0.0
2007-09-18,50.0
2007-09-19,-16.6667
2007-09-20,0.0
2007-09-21,-30.0
2007-09-24,42.8571
2007-09-25,-2.0
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,0.0
2007-10-01,0.0
2007-10-02,0.0
2007-10-04,-18.3673
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,22.5
2007-10-10,2.0408
2007-10-11,0.0
2007-10-16,10.0
2007-10-17,-14.5455
2007-10-18,6.383
2007-10-19,-2.0
2007-10-22,12.2449
2007-10-24,-7.2727
2007-10-25,7.8431
2007-10-26,3.6364
2007-10-29,-3.5088
2007-10-30,-1.8182
2007-10-31,5.5556
2007-11-02,-8.7719
2007-11-05,-3.8462
2007-11-06,0.0
2007-11-07,10.0
2007-11-08,-1.8182
2007-11-09,-3.7037
2007-11-12,-9.6154
2007-11-13,12.766
2007-11-14,7.5472
2007-11-15,7.0175
2007-11-16,-1.6393
2007-11-19,-11.6667
2007-11-20,11.3208
2007-11-21,0.0
2007-11-26,-5.0847
2007-11-27,10.7143
2007-11-28,6.4516
2007-11-29,-1.5152
2007-11-30,16.9231
2007-12-03,5.2632
2007-12-06,-6.25
2007-12-07,0.0
2007-12-10,6.6667
2007-12-11,-6.25
2007-12-12,0.0
2007-12-13,6.6667
2007-12-14,0.0
2007-12-18,6.25
2007-12-19,1.1764999999999999
2007-12-20,5.814
2007-12-21,-2.1978
2007-12-24,0.0
2007-12-26,-1.1236
2007-12-27,7.9545
2007-12-28,9.473700000000001
2007-12-31,9.6154
2008-01-02,-7.0175
2008-01-03,-2.8302
2008-01-04,6.7961
2008-01-07,-1.8182
2008-01-08,0.0
2008-01-09,1.8519
2008-01-10,0.0
2008-01-11,-8.1818
2008-01-14,8.9109
2008-01-15,0.0
2008-01-16,0.0
2008-01-17,0.0
2008-01-18,0.9091
2008-01-22,-5.4054
2008-01-23,9.5238
2008-01-24,-4.3478
2008-01-25,4.5455
2008-01-28,-4.3478
2008-01-29,0.0
2008-01-30,0.0
2008-01-31,8.1818
2008-02-01,-17.647100000000002
2008-02-04,-5.102
2008-02-05,9.6774
2008-02-06,11.7647
2008-02-07,-11.4035
2008-02-08,0.0
2008-02-11,0.0
2008-02-12,1.9802
2008-02-13,0.0
2008-02-14,0.0
2008-02-15,1.9417
2008-02-19,8.5714
2008-02-20,0.8772
2008-02-21,-4.3478
2008-02-22,0.0
