ticker,ARD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-15,20.5789
2017-03-16,-1.5714000000000001
2017-03-17,-2.3947
2017-03-20,-2.1808
2017-03-21,-1.2076
2017-03-22,0.9403
2017-03-23,1.537
2017-03-24,1.8807
2017-03-27,0.3602
2017-03-28,-0.2692
2017-03-29,-2.1592000000000002
2017-03-30,1.2414
2017-03-31,-0.2725
2017-04-03,-2.4135
2017-04-04,1.2599
2017-04-05,-1.8433000000000002
2017-04-06,-0.7512
2017-04-07,3.4059
2017-04-10,-3.4767
2017-04-11,-0.2844
2017-04-12,0.2852
2017-04-13,-0.4739
2017-04-17,-0.5238
2017-04-18,0.4787
2017-04-19,3.5255
2017-04-20,-0.7363
2017-04-21,-2.179
2017-04-24,0.8531
2017-04-25,-0.282
2017-04-26,1.7908
2017-04-27,0.0
2017-04-28,-0.787
2017-05-01,1.9132
2017-05-02,-1.9231
2017-05-03,-0.747
2017-05-04,1.5051999999999999
2017-05-05,3.6145
2017-05-08,-1.6547
2017-05-09,-0.955
2017-05-10,2.3875
2017-05-11,-1.9731
2017-05-12,-0.4575
2017-05-15,0.8272
2017-05-16,-0.1835
2017-05-17,1.5165
2017-05-18,-0.1811
2017-05-19,1.4512
2017-05-22,0.2682
2017-05-23,4.5475
2017-05-24,1.0661
2017-05-25,0.6329
2017-05-26,-3.8155
2017-05-30,3.7053000000000003
2017-05-31,0.8407
2017-06-01,-1.6674
2017-06-02,-1.6109
2017-06-05,-1.1202
2017-06-06,-0.1307
2017-06-07,-0.1745
2017-06-08,-0.5245
2017-06-09,0.0879
2017-06-12,-2.4583
2017-06-13,2.1602
2017-06-14,-1.2775
2017-06-15,0.0446
2017-06-16,-0.8029
2017-06-19,-0.3597
2017-06-20,-0.2708
2017-06-21,-1.1312
2017-06-22,-0.5492
2017-06-23,0.6903
2017-06-26,1.1426
2017-06-27,-0.3615
2017-06-28,1.1791
2017-06-29,1.4792
2017-06-30,-0.1325
2017-07-03,-1.3711
2017-07-05,-1.3004
2017-07-06,-0.5906
2017-07-07,0.3656
2017-07-10,-0.0455
2017-07-11,-0.5467
2017-07-12,0.5497
2017-07-13,-0.41
2017-07-14,4.8033
2017-07-17,1.1785
2017-07-18,-1.0354
2017-07-19,-2.5282999999999998
2017-07-20,1.3864
2017-07-21,-0.1764
2017-07-24,3.049
2017-07-25,-0.9863
2017-07-26,-1.5158
2017-07-27,-1.0994
2017-07-28,-0.1334
2017-07-31,-0.089
2017-08-01,-0.1783
