ticker,RTSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-22,263.6364
2014-07-23,2.5
2014-07-29,2.439
2014-08-06,0.0
2014-08-07,-4.7619
2014-08-18,-22.5
2014-09-16,-32.2581
2014-09-19,-42.8571
2014-09-29,0.0
2014-12-03,0.0
2016-01-21,14.1667
2016-02-12,0.0
2016-05-05,-5.1095
2017-01-19,53.8462
2017-01-24,-6.9375
2017-02-06,4.9429
2017-02-09,0.0
2017-05-24,33.1115
2017-05-25,280.7692
2017-06-05,1.0101
2017-06-09,-75.0
2017-06-12,16.8
2017-06-13,2.7397
2017-06-15,-39.3333
2017-06-19,-21.978
2017-06-20,23.2394
2017-06-21,-26.8
2017-06-27,42.3263
2017-06-28,-1.2725
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,4.2667
2017-07-07,8.6957
2017-07-10,-5.8824
2017-07-11,0.0
2017-07-19,-10.4167
2017-08-07,-6.9767
2017-08-17,4.8875
2017-08-23,-4.6598
2017-10-09,5.3125
2017-11-06,-18.7537
2017-11-30,-5.0402
2017-12-05,-9.461500000000001
2018-01-25,8.7511
2018-02-27,-21.875
2018-03-02,300.0
2018-03-14,-35.0
2018-04-03,-11.538499999999999
2018-04-09,-53.913
2018-04-24,26.4151
2018-08-08,-8.9552
2018-08-13,-34.4262
2019-05-01,-12.5
2019-08-26,-14.2857
2019-11-05,0.0
2019-11-22,222.5
2019-11-25,-37.0439
2019-11-26,-34.3293
2019-11-27,-25.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-05,0.0
2019-12-09,0.0333
2019-12-10,-0.0333
2019-12-17,70.0
2019-12-18,-21.5686
2019-12-19,-25.0
2019-12-20,3.3333
2019-12-24,0.0
2019-12-27,0.0
2020-01-02,-3.2258
2020-01-14,0.0
2020-01-24,-6.6667
2020-03-24,86.0714
2020-03-25,40.1152
2020-03-30,-4.1096
2020-04-02,-57.1429
2020-04-17,8.3333
2020-04-22,7.6923
2020-04-24,-21.4286
2020-05-20,81.8182
2020-06-01,-55.7
2020-06-02,17.3815
2020-06-09,-3.8462
2020-06-10,0.0
2020-06-11,-16.0
2020-06-16,64.2857
2020-06-17,15.942
2020-06-18,12.5
2020-06-22,0.0
2020-06-23,-11.1111
2020-06-24,72.5
2020-06-25,8.6957
2020-06-26,0.0
2020-06-29,13.3333
2020-06-30,9.4118
2020-07-01,2.1505
2020-07-02,2.0947
2020-07-06,0.0103
2020-07-07,-7.2165
2020-07-08,1.1111
2020-07-09,37.3626
2020-07-10,43.192
2020-07-13,-43.5723
2020-07-14,-0.9901
2020-07-15,4.0
2020-07-16,-3.8462
2020-07-17,-1.01
2020-07-20,1.0102
2020-07-21,-15.0015
2020-07-22,0.0118
2020-07-23,0.0
2020-07-24,9.4118
2020-07-27,-3.2258
2020-07-28,0.0
2020-07-29,-6.6667
2020-07-30,0.0
2020-07-31,-4.7619
