ticker,ILDIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-07,0.0
2003-11-25,3500.0
2003-11-26,-66.6667
2004-02-05,0.0
2004-03-10,133.3333
2004-03-24,-42.8571
2004-03-29,150.0
2004-04-06,0.0
2004-04-13,0.0
2004-05-26,-50.0
2004-06-02,0.0
2004-06-29,0.0
2004-07-06,0.0
2004-07-26,0.0
2004-07-27,-20.0
2004-07-28,-50.0
2004-07-30,0.0
2004-11-08,150.0
2004-11-18,-60.0
2005-02-25,0.0
2005-02-28,10.0
2005-05-23,-9.0909
2005-08-26,0.0
2005-09-23,0.0
2005-10-07,0.0
2005-11-18,0.0
2006-04-24,50.0
2006-05-05,100.0
2006-05-08,0.0
2006-05-09,0.0
2006-05-10,0.0
2006-05-19,-33.3333
2006-05-23,0.0
2006-08-23,0.0
2006-10-02,0.0
2006-10-03,0.0
2006-11-16,-25.0
2006-11-20,0.0
2006-11-22,33.3333
2006-12-06,50.0
2006-12-27,8.3333
2007-01-12,-23.0769
2007-01-23,40.0
2007-03-08,-42.8571
2007-04-18,2.5
2007-05-21,0.0
2007-06-18,-2.439
2007-07-06,0.0
2007-07-13,0.0
2007-07-16,0.0
2007-08-03,0.0
2007-08-09,0.0
2007-08-31,0.0
2007-12-17,0.0
2008-01-28,0.0
2008-02-22,0.0
2008-05-09,-25.0
2008-06-09,-30.0
2008-07-29,42.8571
2008-10-23,-23.3333
2008-12-24,-78.2609
2008-12-26,700.0
2009-02-20,0.0
2009-06-08,0.0
2009-06-15,5.0
2009-06-18,26.1905
2009-07-20,-43.3962
2009-07-30,0.0
2009-09-29,-33.3333
2009-12-17,0.0
2010-03-01,50.0
2010-03-31,0.0
2010-05-17,0.0
2010-05-28,66.6667
2010-06-15,80.0
2010-07-14,-55.5556
2010-11-17,125.0
2010-12-02,-55.5556
2011-01-31,0.0
2011-04-25,0.0
2011-06-21,0.0
2011-08-09,-25.0
2011-11-28,50.0
2012-03-26,0.0
2012-05-11,0.0
2012-06-06,0.0
2012-10-23,0.0
2013-04-10,0.0
2013-05-28,0.0
2013-07-10,0.0
2013-12-31,0.0
2014-07-09,0.2778
2015-01-26,10.8033
2015-04-22,-20.0
2015-09-30,0.0
2017-11-30,50.0
