ticker,MCY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1236
2000-01-04,-1.7045
2000-01-05,1.4451
2000-01-06,0.0
2000-01-07,2.5641
2000-01-10,-0.5556
2000-01-11,-0.838
2000-01-12,0.0
2000-01-13,1.9718
2000-01-14,2.4862
2000-01-18,3.504
2000-01-19,1.3021
2000-01-20,-3.599
2000-01-21,-1.6
2000-01-24,0.0
2000-01-25,1.355
2000-01-26,2.4064
2000-01-27,-1.0444
2000-01-28,-0.7916
2000-01-31,1.0638
2000-02-01,-1.3158
2000-02-02,2.4
2000-02-03,0.0
2000-02-04,-1.5625
2000-02-07,2.6455
2000-02-08,1.0309
2000-02-09,-3.0612
2000-02-10,-0.5263
2000-02-11,-1.3228
2000-02-14,-1.8767
2000-02-15,0.8197
2000-02-16,0.813
2000-02-17,-0.2688
2000-02-18,-1.3477000000000001
2000-02-22,-1.0929
2000-02-23,-0.5525
2000-02-24,0.0
2000-02-25,-1.1111
2000-02-28,1.4045
2000-02-29,0.554
2000-03-01,-0.2755
2000-03-02,-0.2762
2000-03-03,-0.277
2000-03-06,-3.3333
2000-03-07,-2.2989
2000-03-08,3.2353
2000-03-09,0.2849
2000-03-10,0.0
2000-03-13,0.8068
2000-03-14,-0.2849
2000-03-15,3.7143
2000-03-16,2.4793
2000-03-17,-0.2688
2000-03-20,-1.3477000000000001
2000-03-21,7.377
2000-03-22,1.7812000000000001
2000-03-23,3.25
2000-03-24,1.6949
2000-03-27,-2.8571
2000-03-28,4.4118
2000-03-29,5.1643
2000-03-30,4.4643
2000-03-31,0.8547
2000-04-03,-1.0593
2000-04-04,0.8565
2000-04-05,0.6369
2000-04-06,1.4768
2000-04-07,0.4158
2000-04-10,-2.6915
2000-04-11,-1.2766
2000-04-12,1.9397
2000-04-13,-2.7484
2000-04-14,-0.2174
2000-04-17,-1.7429000000000001
2000-04-18,0.6652
2000-04-19,-4.6256
2000-04-20,-3.4642
2000-04-24,2.6316
2000-04-25,3.9627
2000-04-26,1.7936999999999999
2000-04-27,-3.304
2000-04-28,-0.2278
2000-05-01,-6.1644
2000-05-02,-0.7299
2000-05-03,-2.2059
2000-05-04,-2.005
2000-05-05,1.2788
2000-05-08,-0.5051
2000-05-09,1.7766
2000-05-10,-1.995
2000-05-11,1.7812000000000001
2000-05-12,0.25
2000-05-15,0.7481
2000-05-16,10.8911
2000-05-17,-6.4732
2000-05-18,0.0
2000-05-19,-1.1933
2000-05-22,0.0
2000-05-23,2.657
