ticker,GLLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-09,1.0101
2010-09-10,22.2222
2010-10-14,0.0
2010-10-18,9.0909
2010-11-01,0.0
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,0.0
2011-03-23,5.0
2011-03-30,-1.002
2011-03-31,-3.798
2011-04-01,0.0
2011-05-19,3.9478999999999997
2011-05-26,4.2189
2011-05-27,0.0
2011-06-02,-3.0769
2011-06-15,-4.7619
2011-06-16,8.3333
2011-06-17,4.6154
2011-06-22,-4.4118
2011-06-23,0.0
2011-06-30,46.1538
2011-07-01,2.1053
2011-07-05,22.6804
2011-07-06,24.3697
2011-07-07,-8.7838
2011-07-08,35.9259
2011-07-11,9.5368
2011-07-12,-1.4925
2011-07-13,1.0101
2011-07-14,-2.5
2011-07-15,1.5385
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,14.1414
2011-07-21,3.9823
2011-07-22,1.7021
2011-07-25,-0.4184
2011-07-26,1.6806999999999999
2011-07-27,-1.0331
2011-07-28,1.8789
2011-07-29,-1.6393
2011-08-01,-0.8333
2011-08-02,2.521
2011-08-03,-3.6885
2011-08-04,-4.2553
2011-08-05,-8.8889
2011-08-08,-2.439
2011-08-09,5.0
2011-08-10,-2.3810000000000002
2011-08-11,7.3171
2011-08-12,1.3636
2011-08-15,0.0
2011-08-16,3.1390000000000002
2011-08-17,-0.4348
2011-08-18,-1.31
2011-08-19,1.7699
2011-08-22,2.1739
2011-08-23,-1.7021
2011-08-24,3.4632
2011-08-25,0.8368
2011-08-26,0.4149
2011-08-29,-1.2397
2011-08-30,1.6736
2011-08-31,1.6461000000000001
2011-09-01,-8.9069
2011-09-02,6.6667
2011-09-06,-0.8333
2011-09-07,-1.2605
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,0.8511
2011-09-13,-17.2996
2011-09-14,17.3469
2011-09-15,-12.1739
2011-09-16,-2.4752
2011-09-19,-6.0914
2011-09-20,-15.675699999999999
2011-09-21,-3.2051
2011-09-22,4.6358
2011-09-23,4.4304
2011-09-26,-3.0303
2011-09-27,-6.25
2011-09-28,-10.0
2011-09-29,11.1111
2011-09-30,-6.6667
2011-10-03,-8.5714
2011-10-04,-13.2812
2011-10-05,8.1081
2011-10-06,-10.0
2011-10-07,1.8519
2011-10-10,-6.3636
2011-10-11,-0.9709
2011-10-12,3.9215999999999998
2011-10-13,30.1887
2011-10-14,1.4493
2011-10-17,-15.7143
2011-10-18,-3.3898
2011-10-19,2.6316
