ticker,MCBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,2.1552
2000-01-05,1.2658
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.8333
2000-01-11,-2.4793
2000-01-12,1.6949
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.8333
2000-01-24,0.0
2000-01-25,-0.8264
2000-01-26,0.0
2000-01-27,-1.6667
2000-01-28,0.0
2000-01-31,-1.6949
2000-02-02,1.7241
2000-02-03,-3.3898
2000-02-04,0.8772
2000-02-07,-0.8696
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,1.7544
2000-02-11,0.0
2000-02-14,1.7241
2000-02-15,0.0
2000-02-17,-0.8475
2000-02-18,-0.8547
2000-02-22,0.0
2000-02-23,1.7241
2000-02-24,-1.6949
2000-02-25,-3.0172
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,0.8889
2000-03-06,1.3216
2000-03-07,-2.1739
2000-03-08,2.2222
2000-03-09,-2.1739
2000-03-10,0.0
2000-03-13,-0.4444
2000-03-15,-1.7856999999999998
2000-03-16,-0.4545
2000-03-17,3.1963
2000-03-20,-2.6549
2000-03-21,0.0
2000-03-22,-0.9091
2000-03-23,-0.9174
2000-03-24,0.0
2000-03-27,-0.9259
2000-03-28,1.8692
2000-03-29,-2.7523
2000-03-30,2.8302
2000-03-31,-1.8349
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,3.7382999999999997
2000-04-07,-3.6036
2000-04-10,0.9346
2000-04-11,-1.8519
2000-04-12,0.0
2000-04-13,0.0
2000-04-17,0.0
2000-04-18,-2.8302
2000-04-19,-3.8834999999999997
2000-04-20,1.0101
2000-04-25,1.0
2000-04-26,2.9703
2000-04-27,-1.9231
2000-04-28,1.9607999999999999
2000-05-01,0.9615
2000-05-02,-0.9524
2000-05-03,0.0
2000-05-04,-0.9615
2000-05-05,-1.9417
2000-05-08,0.0
2000-05-09,-1.4851
2000-05-10,-2.5126
2000-05-11,-1.0309
2000-05-12,0.0
2000-05-15,2.0833
2000-05-16,1.5306
2000-05-17,2.5126
2000-05-18,-0.9804
2000-05-19,0.0
2000-05-22,-5.9406
2000-05-23,5.2632
2000-05-24,-4.5
2000-05-25,2.6178
2000-05-26,3.0612
2000-05-30,-4.9505
2000-05-31,6.25
2000-06-02,-4.4118
2000-06-05,-0.5128
