ticker,SRRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-16,81.1765
2015-07-17,-2.5974
2015-07-20,0.1667
2015-07-21,-0.8319
2015-07-22,0.7047
2015-07-23,-1.2328999999999999
2015-07-24,-0.6748
2015-07-27,-11.5829
2015-07-28,2.9965
2015-07-29,-2.7229
2015-07-30,-1.7638
2015-07-31,6.9477
2015-08-03,4.1606
2015-08-04,2.4877000000000002
2015-08-05,-0.9915
2015-08-06,0.2417
2015-08-07,-1.619
2015-08-10,-12.43
2015-08-11,0.4398
2015-08-12,1.035
2015-08-13,-1.6942
2015-08-14,1.7234
2015-08-17,8.156
2015-08-18,5.2823
2015-08-19,-0.2076
2015-08-20,0.3814
2015-08-21,-3.4888
2015-08-24,-3.7938
2015-08-25,-3.7202
2015-08-26,5.9119
2015-08-27,3.32
2015-08-28,6.0734
2015-08-31,-3.6285
2015-09-01,-0.4491
2015-09-02,5.864
2015-09-03,2.6549
2015-09-04,-3.2567
2015-09-08,0.8251
2015-09-09,0.1637
2015-09-10,0.4248
2015-09-11,0.1952
2015-09-14,0.4222
2015-09-15,-0.7115
2015-09-16,-0.456
2015-09-17,-0.1959
2015-09-18,-1.3775
2015-09-21,0.3989
2015-09-22,-6.2583
2015-09-23,1.4129
2015-09-24,-3.2393
2015-09-25,-7.9193999999999996
2015-09-28,-11.0633
2015-09-29,-10.3297
2015-09-30,0.5882
2015-10-01,-14.4493
2015-10-02,0.769
2015-10-05,-2.3742
2015-10-06,1.3317999999999999
2015-10-07,8.2857
2015-10-08,-3.3245
2015-10-09,-2.8384
2015-10-12,-5.7865
2015-10-13,4.8301
2015-10-14,-2.0478
2015-10-15,7.9559
2015-10-16,-3.6041
2015-10-19,-1.7856999999999998
2015-10-20,-1.9886
2015-10-21,0.4638
2015-10-22,1.8465
2015-10-23,-3.5127
2015-10-26,-1.3506
2015-10-27,0.5952
2015-10-28,-4.2604
2015-10-29,4.0173
2015-10-30,1.9607999999999999
2015-11-02,3.4382
2015-11-03,1.8592
2015-11-04,8.9602
2015-11-05,-11.3706
2015-11-06,6.071
2015-11-09,5.1296
2015-11-10,-1.6436
2015-11-11,1.8277
2015-11-12,-7.8462
2015-11-13,-1.2243
2015-11-16,-4.7324
2015-11-17,1.1827
2015-11-18,4.1496
2015-11-19,-1.6835
2015-11-20,0.5137
2015-11-23,2.9529
2015-11-24,0.1655
2015-11-25,3.1938
2015-11-27,-2.2946
2015-11-30,4.8061
2015-12-01,-4.4815
2015-12-02,-5.0736
