ticker,AJOY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-16,140.0
2011-03-24,4.1667
2011-05-04,20.0
2011-05-10,0.0
2011-05-13,70.0
2011-05-24,-41.1765
2011-07-20,-58.3333
2011-07-21,60.0
2011-07-28,0.0
2011-07-29,25.0
2011-08-02,76.0
2011-08-03,0.0
2011-08-04,-9.0909
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,2.5
2011-08-11,46.3415
2011-08-12,-1.6667
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,-15.2542
2011-08-19,-16.0
2011-08-23,0.0
2011-08-24,19.2857
2011-08-25,-0.1996
2011-08-31,6.0
2011-09-07,7.5472
2011-09-12,0.0
2011-09-15,-29.8246
2011-09-16,42.5
2011-09-21,22.807
2011-09-22,-5.7143
2011-09-23,25.7576
2011-09-27,19.2771
2011-09-28,-11.1111
2011-09-29,-14.7727
2011-09-30,1.3333
2011-10-04,-50.0
2011-10-05,23.6842
2011-10-06,17.0213
2011-10-07,14.5455
2011-10-10,1.5873
2011-10-11,-14.0625
2011-10-12,-16.3636
2011-10-17,-6.5217
2011-10-21,-6.9767
2011-10-25,-12.5
2011-10-26,8.5714
2011-10-27,0.0
2011-10-28,-7.8947
2011-10-31,-14.2857
2011-11-01,1.6667
2011-11-02,1.6393
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-17,-3.2258
2011-11-21,-13.3333
2011-11-22,7.6923
2011-11-23,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-27,21.4286
2011-12-30,-14.7059
2012-01-19,-3.4483
2012-01-23,0.0
2012-01-25,0.0
2012-02-01,-21.4286
2012-02-02,50.0
2012-02-13,-39.3939
2012-02-21,100.0
2012-02-22,-2.5
2012-02-24,0.0
2012-02-27,10.2564
2012-02-28,18.6047
2012-02-29,0.0
2012-03-01,-13.7255
2012-03-02,4.5455
2012-03-05,10.8696
2012-03-06,-15.6863
2012-03-07,-11.6279
2012-03-08,12.8454
2012-03-09,-2.0551
2012-03-13,-16.6667
2012-03-14,0.0
2012-03-15,-31.4286
2012-03-16,0.0
2012-03-19,41.6667
2012-03-21,-20.5882
2012-03-22,0.0
2012-03-29,-18.5185
2012-03-30,59.0909
2012-04-05,-25.7143
2012-04-09,15.3846
2012-04-10,-5.0
2012-04-11,22.807
2012-04-12,-8.5714
2012-04-13,0.0
2012-04-16,2.7539
2012-04-17,-5.7213
2012-04-18,-6.4516
