ticker,FUGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-12,24.0
2006-07-13,-35.4839
2006-07-14,10.0
2006-07-18,-4.5455
2006-07-19,0.0
2006-07-20,-4.7619
2006-07-21,0.0
2006-07-24,-5.0
2006-07-25,0.0
2006-07-26,-1.0526
2006-07-27,0.0
2006-07-28,0.0
2006-07-31,-14.8936
2006-08-01,0.0
2006-08-02,-1.25
2006-08-04,0.0
2006-08-07,11.3924
2006-08-11,1.1364
2006-08-15,-10.1124
2006-08-17,-6.25
2006-08-18,0.0
2006-08-22,6.6667
2006-08-23,10.0
2006-08-24,7.9545
2006-08-25,-63.1579
2006-08-28,-28.5714
2006-08-29,-44.0
2006-08-30,142.8571
2006-08-31,-2.9412000000000003
2006-09-01,0.0
2006-09-05,-3.0303
2006-09-08,-6.25
2006-09-11,0.0
2006-09-12,-16.6667
2006-09-13,20.0
2006-09-14,16.6667
2006-09-15,0.0
2006-09-18,-5.7143
2006-09-19,21.2121
2006-09-22,-5.0
2006-09-25,2.6316
2006-09-26,-10.2564
2006-09-28,0.0
2006-09-29,0.0
2006-10-03,0.0
2006-10-04,14.2857
2006-10-06,-22.5
2006-10-09,0.0
2006-10-10,0.0
2006-10-11,3.2258
2006-10-12,25.0
2006-10-13,0.0
2006-10-18,-2.5
2006-10-20,2.5641
2006-10-25,-25.0
2006-10-26,0.0
2006-10-27,-16.6667
2006-10-30,20.0
2006-10-31,0.0
2006-11-01,16.6667
2006-11-03,0.0
2006-11-07,-37.1429
2006-11-08,0.0
2006-11-09,4.5455
2006-11-10,0.0
2006-11-13,-8.6957
2006-11-14,9.5238
2006-11-15,0.0
2006-11-16,-4.3478
2006-11-20,36.3636
2006-11-21,0.0
2006-11-22,0.0
2006-11-28,0.0
2006-12-01,-6.6667
2006-12-05,-10.7143
2006-12-06,-20.0
2006-12-07,-10.0
2006-12-08,-16.6667
2006-12-11,-6.6667
2006-12-12,0.0
2006-12-13,0.0
2006-12-14,28.5714
2006-12-18,0.0
2006-12-19,-5.5556
2006-12-21,-17.647100000000002
2006-12-22,14.2857
2006-12-27,6.25
2006-12-28,5.8824
2006-12-29,11.1111
2007-01-03,0.0
2007-01-05,0.0
2007-01-09,0.0
2007-01-10,0.0
2007-01-16,0.0
2007-01-17,15.0
2007-01-18,0.0
2007-01-22,-13.0435
2007-01-23,15.0
2007-01-24,4.3478
2007-01-25,-4.1667
2007-01-26,-21.7391
2007-01-29,27.7778
2007-02-02,0.0
2007-02-15,0.0
