ticker,SAFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-22,7.5
2002-11-25,-1.8605
2002-11-26,-1.2638
2002-11-27,3.2
2002-11-29,-0.3876
2002-12-02,3.035
2002-12-03,0.0755
2002-12-04,3.0189
2002-12-05,-1.3187
2002-12-06,-0.5197
2002-12-09,-1.1865999999999999
2002-12-10,3.4665
2002-12-11,-0.146
2002-12-12,1.7544
2002-12-13,1.4368
2002-12-16,-0.0708
2002-12-17,0.7796
2002-12-18,-2.6723
2002-12-19,0.2168
2002-12-20,0.2163
2002-12-23,0.0
2002-12-24,0.5755
2002-12-26,2.289
2002-12-27,3.007
2002-12-30,2.3693
2002-12-31,-4.6356
2003-01-02,-0.904
2003-01-03,-1.6139999999999999
2003-01-06,0.5706
2003-01-07,-0.3546
2003-01-08,-1.0747
2003-01-09,-1.3598
2003-01-10,0.7294
2003-01-13,0.3621
2003-01-14,0.6494
2003-01-15,-2.509
2003-01-16,0.0
2003-01-17,0.0
2003-01-21,-0.8824
2003-01-22,0.0742
2003-01-23,0.3706
2003-01-24,-0.7312
2003-01-27,-1.049
2003-01-28,-0.7519
2003-01-29,0.6818
2003-01-30,0.0752
2003-01-31,-1.0902
2003-02-03,1.4823
2003-02-04,0.5243
2003-02-05,-0.149
2003-02-06,1.2687
2003-02-07,-1.7686
2003-02-10,0.5251
2003-02-11,-0.3731
2003-02-12,-0.8315
2003-02-13,0.0906
2003-02-14,0.2943
2003-02-18,0.0752
2003-02-19,0.6015
2003-02-20,-0.5979
2003-02-21,0.9023
2003-02-24,-1.2668
2003-02-25,0.6038
2003-02-26,-0.5251
2003-02-27,0.7541
2003-02-28,0.301
2003-03-03,-1.9505
2003-03-04,0.4591
2003-03-05,0.6855
2003-03-06,1.8911
2003-03-07,0.9651
2003-03-10,-2.6471
2003-03-11,-1.284
2003-03-12,-1.3007
2003-03-13,1.5504
2003-03-14,-0.3817
2003-03-17,-0.7663
2003-03-18,0.2317
2003-03-19,0.2311
2003-03-20,0.9224
2003-03-21,0.457
2003-03-24,-0.3791
2003-03-25,-0.0761
2003-03-26,0.0762
2003-03-27,-1.0654
2003-03-28,0.0
2003-03-31,0.2308
2003-04-01,0.1535
2003-04-02,0.3831
2003-04-03,2.1374
2003-04-04,1.0463
2003-04-07,2.7293
2003-04-08,2.2392
2003-04-09,-0.9859
2003-04-10,-0.4267
2003-04-11,-0.1429
2003-04-14,-1.2876
2003-04-15,0.942
2003-04-16,0.0
2003-04-17,0.5025
