ticker,ALSK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.0707
2000-01-04,7.5472
2000-01-05,2.193
2000-01-06,-0.4292
2000-01-07,-0.8621
2000-01-10,3.4783
2000-01-11,0.8403
2000-01-12,0.8333
2000-01-13,0.0
2000-01-14,-0.8264
2000-01-18,-1.6667
2000-01-19,-2.5423999999999998
2000-01-20,-3.9130000000000003
2000-01-21,-4.9774
2000-01-24,2.8571
2000-01-25,3.7037
2000-01-26,-2.2321
2000-01-27,2.2831
2000-01-28,-0.8929
2000-01-31,3.6036
2000-02-01,8.6957
2000-02-02,-1.6
2000-02-03,-2.439
2000-02-04,-0.8333
2000-02-07,0.8403
2000-02-08,0.8333
2000-02-09,2.4793
2000-02-10,-1.6129
2000-02-11,-2.8689
2000-02-14,-1.2658
2000-02-15,0.0
2000-02-16,-2.5641
2000-02-17,-1.7544
2000-02-18,1.7856999999999998
2000-02-22,5.2632
2000-02-23,2.9167
2000-02-24,-4.8583
2000-02-25,0.4255
2000-02-28,1.6949
2000-02-29,-6.6667
2000-03-01,-1.3393
2000-03-02,2.2624
2000-03-03,1.3274
2000-03-06,0.4367
2000-03-07,-3.0435
2000-03-08,0.0
2000-03-09,0.4484
2000-03-10,0.0
2000-03-13,-0.8929
2000-03-14,0.0
2000-03-15,-0.9009
2000-03-16,2.7273
2000-03-17,-1.7699
2000-03-20,0.4505
2000-03-21,-0.4484
2000-03-22,0.4505
2000-03-23,-0.4484
2000-03-24,2.7027
2000-03-27,-1.7544
2000-03-28,-6.25
2000-03-29,-3.8095
2000-03-30,-2.4752
2000-03-31,-1.5228000000000002
2000-04-03,-1.5464
2000-04-04,1.5707
2000-04-05,6.1856
2000-04-06,3.8834999999999997
2000-04-07,0.0
2000-04-10,1.4019
2000-04-11,-0.4608
2000-04-12,-10.1852
2000-04-13,-1.0309
2000-04-14,-10.4167
2000-04-17,3.4884
2000-04-18,0.0
2000-04-19,2.2472
2000-04-20,4.3956
2000-04-24,-2.6316
2000-04-25,-1.0811
2000-04-26,0.5464
2000-04-27,3.2609
2000-04-28,1.0526
2000-05-01,6.25
2000-05-02,-3.9215999999999998
2000-05-03,2.0408
2000-05-04,9.5
2000-05-05,-1.3699
2000-05-08,0.9259
2000-05-09,0.4587
2000-05-10,-2.7397
2000-05-11,0.5869
2000-05-12,3.6173
2000-05-15,2.2523
2000-05-16,-1.3216
2000-05-17,0.0
2000-05-18,-0.4464
2000-05-19,0.4484
2000-05-22,-0.8929
