ticker,AXNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-31,-0.1333
2018-11-01,-3.2043
2018-11-02,3.931
2018-11-05,-2.1234
2018-11-06,1.0169
2018-11-07,4.8993
2018-11-08,-4.0307
2018-11-09,-1.0667
2018-11-12,1.1456
2018-11-13,3.2645
2018-11-14,-2.3226
2018-11-15,0.0661
2018-11-16,-0.6601
2018-11-19,0.9967
2018-11-20,-7.8947
2018-11-21,5.2143
2018-11-23,1.2899
2018-11-26,0.4692
2018-11-27,-1.1341
2018-11-28,-4.9258
2018-11-29,-4.8971
2018-11-30,-1.4925
2018-12-03,6.1364
2018-12-04,2.3555
2018-12-06,3.2078
2018-12-07,2.5
2018-12-10,6.1305
2018-12-11,-3.8509
2018-12-12,6.1370000000000005
2018-12-13,-2.8606
2018-12-14,2.1303
2018-12-17,-5.1534
2018-12-18,0.5821
2018-12-19,-3.6013
2018-12-20,-5.6037
2018-12-21,-1.8375
2018-12-24,-1.2959
2018-12-26,4.0846
2018-12-27,6.1668
2018-12-28,-3.8944
2018-12-31,3.7775
2019-01-02,-6.2872
2019-01-03,-4.5198
2019-01-04,8.9497
2019-01-07,-2.6477
2019-01-08,-7.113
2019-01-09,8.7838
2019-01-10,1.3803
2019-01-11,-2.3145
2019-01-14,4.1812
2019-01-15,0.2676
2019-01-16,-0.2668
2019-01-17,0.7358
2019-01-18,0.7968
2019-01-22,-2.1739
2019-01-23,-0.8754
2019-01-24,0.8152
2019-01-25,1.0108
2019-01-28,-4.2695
2019-01-29,-0.5575
2019-01-30,-0.5606
2019-01-31,2.8894
2019-02-01,1.4384000000000001
2019-02-04,2.4983
2019-02-05,-3.4914
2019-02-06,1.7747000000000002
2019-02-07,-0.7378
2019-02-08,0.6757
2019-02-11,-2.2819
2019-02-12,7.967
2019-02-13,-0.1272
2019-02-14,-0.3185
2019-02-15,5.0479
2019-02-19,9.4891
2019-02-20,17.3889
2019-02-21,6.4837
2019-02-22,-4.4444
2019-02-25,-0.2326
2019-02-26,-0.5128
2019-02-27,-2.2962
2019-02-28,1.9664000000000001
2019-03-01,2.3048
2019-03-04,-1.4253
2019-03-05,-3.2183
2019-03-06,-4.0482
2019-03-07,2.8127
2019-03-08,0.2931
2019-03-11,4.3351
2019-03-12,-3.7348
2019-03-13,6.6925
2019-03-14,-2.2727
2019-03-15,5.1163
2019-03-18,-3.3628
2019-03-19,2.0147
2019-03-20,5.6553
2019-03-21,3.441
2019-03-22,-4.5585
2019-03-25,-1.0757
