ticker,SKTP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-25,5.3215
2008-10-10,-5.1579
2008-10-14,0.6659
2008-10-16,0.0
2008-10-21,-3.5281000000000002
2008-10-22,2.8571
2008-10-23,0.0
2008-10-31,-5.5556
2008-11-13,5.8824
2008-11-14,-2.7778
2008-11-20,0.2857
2008-11-21,-2.5641
2008-12-05,4.0936
2008-12-12,-0.5618
2009-01-13,0.565
2009-01-20,0.0
2009-02-13,-7.3034
2009-02-19,-11.5152
2009-02-25,-0.6849
2009-04-06,-13.1034
2009-04-07,-4.9206
2009-07-22,-1.5025
2009-07-23,5.5931999999999995
2009-08-11,0.0
2009-08-12,-1.6051
2009-08-26,0.0
2009-08-27,-7.8303
2009-08-28,8.4956
2009-10-28,-7.8303
2009-10-30,0.0
2009-11-04,-6.1947
2009-11-05,0.0
2009-11-18,16.9811
2009-11-19,0.0
2009-12-11,-3.2258
2010-01-25,0.0
2010-03-09,-15.6633
2010-05-13,10.6676
2010-05-24,-16.9643
2010-06-21,-3.2258
2010-07-29,-2.2222
2010-08-02,0.0
2010-08-18,0.0
2010-08-24,6.1364
2010-09-09,-1.4989
2010-09-10,2.1739
2010-09-15,-4.2553
2010-09-24,2.2222
2010-10-05,6.5217
2010-11-10,0.0
2010-12-29,0.0
2010-12-30,0.0
2011-01-14,0.0
2011-02-14,-12.2449
2011-02-23,0.0
2011-03-01,1.1628
2011-03-04,-5.7471
2011-03-08,6.0976
2011-03-10,2.2989
2011-04-21,-8.9888
2011-04-28,-3.7037
2011-05-05,-2.5641
2011-05-19,18.4211
2011-06-09,-0.1111
2011-07-12,-5.2792
2011-08-12,-0.4157
2011-10-18,0.0
2011-11-30,-9.6698
2011-12-05,14.3603
2011-12-06,0.0
2011-12-14,-12.1005
2012-01-06,3.8961
2012-01-19,4.5
2012-01-24,-7.8947
2012-02-01,-0.5195
2012-02-07,4.4386
2012-02-08,0.0
2012-03-22,-9.5
2012-03-28,0.5525
2012-05-10,0.0
2012-05-21,3.022
2012-08-03,-2.4
2012-08-10,0.0
2012-10-18,4.918
2012-10-31,-4.6875
2012-11-08,1.0929
2012-11-12,13.0027
2012-12-03,-10.0715
2012-12-04,3.7234
2012-12-05,0.0
2012-12-28,-2.0513
2012-12-31,0.0
2013-01-16,17.7592
2013-01-30,-14.1917
2013-02-01,10.1036
2013-02-08,-8.4706
2013-02-11,0.0
2013-02-13,9.2545
2013-02-19,1.1764999999999999
2013-03-11,10.386
2013-03-18,0.0
