ticker,BABA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-19,38.0735
2014-09-22,-4.2603
2014-09-23,-3.0259
2014-09-24,3.9004
2014-09-25,-1.8218
2014-09-26,1.7319
2014-09-29,-1.8902999999999999
2014-09-30,0.1127
2014-10-01,-3.0951
2014-10-02,1.115
2014-10-03,1.1945999999999999
2014-10-06,0.2384
2014-10-07,-0.7247
2014-10-08,0.7186
2014-10-09,0.5549
2014-10-10,-3.2774
2014-10-13,-0.885
2014-10-14,-0.1997
2014-10-15,0.7652
2014-10-16,3.7967
2014-10-17,-1.058
2014-10-20,0.3981
2014-10-21,2.9912
2014-10-22,0.8031
2014-10-23,3.0776
2014-10-24,1.387
2014-10-27,2.1199
2014-10-28,1.9327
2014-10-29,-1.3744
2014-10-30,0.4272
2014-10-31,-0.1317
2014-11-03,3.2454
2014-11-04,4.1945
2014-11-05,2.4512
2014-11-06,2.6686
2014-11-07,2.6799
2014-11-10,4.0066
2014-11-11,-3.8691
2014-11-12,3.1954
2014-11-13,-2.8426
2014-11-14,0.2264
2014-11-17,-0.7385
2014-11-18,-3.0109
2014-11-19,-1.7959
2014-11-20,0.9189
2014-11-21,0.8286
2014-11-24,2.8809
2014-11-25,-0.395
2014-11-26,-0.705
2014-11-28,-0.9142
2014-12-01,-5.0609
2014-12-02,3.6795999999999998
2014-12-03,0.6825
2014-12-04,-1.3286
2014-12-05,-1.1633
2014-12-08,-2.6228
2014-12-09,2.2937
2014-12-10,-3.3495
2014-12-11,1.0493
2014-12-12,0.1334
2014-12-15,-0.3901
2014-12-16,1.022
2014-12-17,3.0727
2014-12-18,0.211
2014-12-19,1.2814999999999999
2014-12-22,-1.6991
2014-12-23,-2.988
2014-12-24,0.4075
2014-12-26,0.0
2014-12-29,0.0283
2014-12-30,-0.217
2014-12-31,-1.7116
2015-01-02,-0.3271
2015-01-05,-2.5097
2015-01-06,2.297
2015-01-07,-1.1518
2015-01-08,2.8395
2015-01-09,-1.9137
2015-01-12,-1.359
2015-01-13,-0.8364
2015-01-14,-1.1809
2015-01-15,-3.2838
2015-01-16,0.6022
2015-01-20,3.2511
2015-01-21,3.2487
2015-01-22,0.6874
2015-01-23,-0.8558
2015-01-26,0.8535
2015-01-27,-1.0097
2015-01-28,-4.3618
2015-01-29,-8.776
2015-01-30,-0.8128
2015-02-02,1.1787
2015-02-03,0.5326
2015-02-04,-0.6732
2015-02-05,-3.3333
2015-02-06,-1.5171999999999999
2015-02-09,0.3735
2015-02-10,1.4651
