ticker,NODB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-25,-20.8333
2000-02-25,-1.7544
2000-02-28,-6.6964
2000-03-22,4.5455
2000-05-05,21.491
2000-05-09,-20.8333
2000-05-11,14.8325
2000-05-26,-11.6667
2000-08-03,13.852
2000-08-14,-3.3333
2000-08-22,-7.3276
2000-09-01,6.9767
2000-09-07,-0.8696
2000-09-13,0.0
2000-09-14,-1.7544
2000-09-15,1.3393
2000-10-11,8.946
2000-11-01,-4.065
2000-11-02,-0.4237
2000-11-15,0.0
2000-11-20,0.0
2000-12-12,-1.2766
2000-12-15,1.7241
2000-12-20,0.0
2000-12-26,0.0
2000-12-27,0.4274
2000-12-29,-0.4255
2001-01-02,0.4274
2001-01-16,3.2511
2001-01-22,-1.088
2001-01-23,-0.8333
2001-01-24,2.1008
2001-01-29,0.4115
2001-01-30,2.0492
2001-02-02,-1.6064
2001-02-07,2.0408
2001-02-14,0.4
2001-02-22,-1.1952
2001-03-01,-0.8065
2001-03-23,-0.813
2001-03-28,0.4098
2001-04-09,0.082
2001-05-01,-0.3934
2001-05-11,1.2179
2001-05-16,-1.2033
2001-05-18,0.395
2001-05-24,3.2787
2001-06-06,-2.2222
2001-06-15,-0.974
2001-06-18,0.8197
2001-06-25,0.813
2001-06-29,0.0
2001-07-20,2.107
2001-07-24,11.1111
2001-07-27,-0.3429
2001-08-20,-6.8234
2001-09-10,4.6154
2001-09-17,-5.1471
2001-09-20,0.155
2001-09-21,0.5263
2001-11-01,6.745
2001-11-06,2.6087
2002-01-07,-0.7092
2002-01-29,-1.4285999999999999
2002-02-19,1.7971
2002-02-20,2.5057
2002-03-11,-0.5556
2002-03-12,0.2793
2002-04-03,0.979
2002-04-05,2.4931
2002-04-10,0.0
2002-04-12,0.0
2002-04-23,0.0
2002-04-24,1.3514
2002-05-10,-1.2
2002-05-13,-0.108
2002-05-14,2.675
2002-05-15,1.3158
2002-05-17,-1.2987
2002-05-20,-2.1053
2002-05-23,2.1505
2002-05-24,-0.6579
2002-05-28,1.3245
2002-05-29,-2.6144
2002-05-30,0.6711
2002-05-31,0.6667
2002-06-03,-0.6623
2002-06-05,0.6667
2002-06-06,0.6623
2002-06-10,-0.5263
2002-06-11,1.1905000000000001
2002-06-24,-0.6536
2002-07-11,-0.2642
2002-07-15,0.6623
2002-07-16,1.9737
2002-07-26,-1.9355
2002-07-29,0.0
2002-08-27,1.9737
2002-09-04,-1.6774
2002-09-18,1.0499
2002-09-23,-1.039
