ticker,BNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-12,49.2727
2020-06-15,-5.7653
2020-06-16,4.9117
2020-06-17,0.1643
2020-06-18,9.0201
2020-06-19,8.2738
2020-06-22,4.4113
2020-06-23,4.5576
2020-06-24,-1.1772
2020-06-25,-0.4829
2020-06-26,-9.8997
2020-06-29,-6.3555
2020-06-30,3.566
2020-07-01,-1.3699
2020-07-02,1.9144
2020-07-06,-2.5414
2020-07-07,2.003
2020-07-08,-1.1856
2020-07-09,-2.1747
2020-07-10,-0.23
2020-07-13,8.9128
2020-07-14,-1.1993
2020-07-15,5.7122
2020-07-16,-4.4242
2020-07-17,0.4594
2020-07-20,1.0552
2020-07-21,-3.2718
2020-07-22,-6.4412
2020-07-23,0.7308
2020-07-24,-9.0874
2020-07-27,13.4817
2020-07-28,-0.4441
2020-07-29,-2.3792
2020-07-30,-4.0366
2020-07-31,-0.7937
