ticker,SVBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,4.7619
2000-01-18,0.0
2000-01-26,-9.6591
2000-01-27,4.9559999999999995
2000-03-14,0.6711
2000-03-16,0.0
2000-03-30,-3.5714
2000-04-05,-6.1728
2000-04-24,0.0
2000-04-25,0.0
2000-05-04,-7.8947
2000-06-07,-2.8571
2000-06-09,0.0
2000-06-13,11.7647
2000-06-14,0.0
2000-06-19,0.0
2000-06-21,-5.2632
2000-06-26,-5.5556
2000-06-29,0.7353
2000-06-30,5.8394
2000-07-12,-8.9655
2000-07-14,11.3636
2000-07-17,-4.7619
2000-07-18,-5.7143
2000-07-19,11.3636
2000-07-31,-7.483
2000-08-04,1.1029
2000-08-10,7.6364
2000-08-16,-10.8108
2000-08-17,3.0303
2000-08-18,8.8235
2000-08-22,-4.0541
2000-08-28,-4.2254
2000-08-29,5.8824
2000-08-30,0.0
2000-09-21,0.0
2000-09-22,5.5556
2000-09-26,-10.526299999999999
2000-10-12,17.647100000000002
2000-10-19,0.0
2000-10-26,5.0
2000-11-08,2.3810000000000002
2000-11-15,-4.6512
2000-11-16,-7.3171
2000-12-04,5.2632
2000-12-13,-20.0
2000-12-21,25.0
2001-01-12,5.0
2001-01-16,7.1429
2001-01-17,0.0
2001-01-18,0.0
2001-01-22,-1.1111
2001-02-12,0.0
2001-02-21,-3.3708
2001-02-22,4.6512
2001-03-16,-2.2222
2001-03-21,-4.5455
2001-03-22,7.1429
2001-03-26,0.0
2001-04-02,-11.1111
2001-04-03,3.75
2001-04-25,10.8434
2001-04-27,-4.3478
2001-05-01,4.5455
2001-05-02,0.0
2001-05-14,0.0
2001-05-16,0.0
2001-05-18,3.2609
2001-05-23,-6.3158
2001-06-12,-12.3596
2001-06-27,3.8462
2001-06-28,3.7037
2001-07-09,4.7619
2001-07-11,-13.6364
2001-07-16,5.2632
2001-07-17,10.0
2001-07-30,-6.9091000000000005
2001-07-31,6.2012
2001-08-06,1.1494
2001-08-07,0.0
2001-09-04,0.2273
2001-09-24,4.3084
2001-09-25,1.087
2001-09-26,1.0753
2001-10-11,4.2553
2001-10-12,-3.5918
2001-11-21,5.8425
2001-11-26,8.0
2001-11-30,-5.5556
2001-12-31,5.8824
2002-01-24,1.8519
2002-01-25,0.0
2002-02-07,1.8182
2002-02-21,-4.9107
2002-03-22,18.3099
2002-03-25,-7.1429
2002-03-27,2.5641
2002-04-03,2.5
2002-04-04,-2.439
2002-04-10,10.0
2002-04-15,5.0
