ticker,LBTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-13,233.3333
2014-05-14,25.3333
2014-05-15,-20.2128
2014-06-03,0.0
2014-06-10,0.0
2014-06-17,0.3333
2014-06-20,-6.9767
2014-06-25,114.2857
2014-06-27,25.0
2014-07-01,60.0
2014-07-03,-45.0
2014-08-04,0.0
2014-09-09,-27.2727
2014-09-11,0.0
2014-10-07,43.75
2014-10-21,-52.1739
2014-11-05,-27.2727
2015-01-20,75.0
2015-01-26,-42.8571
2015-01-28,150.0
2015-02-11,24.75
2015-03-04,-59.7194
2015-04-13,198.5075
2015-04-30,-66.6667
2015-05-08,230.0
2015-08-31,54.5455
2015-09-09,0.0
2015-11-27,-2.9412000000000003
2015-12-21,-61.6162
2016-01-11,32.9605
2016-01-19,-1.0391
2016-04-27,0.0
2016-05-18,20.0
2016-05-23,-3.3333
2016-06-21,3.4483
2016-06-22,10.0
2016-06-23,18.1439
2016-06-24,2.597
2016-06-30,-12.5
2016-07-12,20.0
2016-07-13,2.3810000000000002
2016-07-14,2.3256
2016-07-15,0.0
2016-07-18,-1.1364
2016-07-19,-2.2989
2016-07-20,1.1764999999999999
2016-07-22,3.4884
2016-07-25,9.6629
2016-07-26,10.041
2016-07-27,1.9553
2016-07-28,-1.9178
2016-07-29,-8.7523
2016-08-03,12.2449
2016-08-04,-27.2727
2016-08-12,-20.0
2016-08-16,-6.25
2016-08-17,83.3333
2016-08-25,-34.7273
2016-08-29,-22.0056
2016-08-30,-17.8571
2016-08-31,60.8152
2016-09-14,-37.8168
2016-09-28,30.4348
2016-10-06,-19.9583
2016-10-07,2.0302
2016-10-10,-34.6939
2016-10-11,0.0781
2016-10-12,-0.0781
2016-10-13,15.625
2016-10-14,0.0
2016-10-17,2.7027
2016-10-18,0.0
2016-10-19,10.526299999999999
2016-10-21,-42.8571
2016-10-25,8.3333
2016-10-26,-16.25
2016-10-28,-17.3364
2016-10-31,-33.3333
2016-11-01,6.6667
2016-11-02,-6.25
2016-11-04,16.6667
2016-11-07,11.4286
2016-11-08,57.0513
2016-11-09,6.0204
2016-11-10,23.1954
2016-11-11,18.75
2016-11-14,-42.0395
2016-11-15,-13.2804
2016-11-16,-18.8482
2016-11-17,-5.8065
2016-11-18,23.1164
2016-11-21,-26.5647
2016-11-22,14.9621
2016-11-23,3.3773
2016-11-25,9.1633
2016-11-28,0.0
2016-11-29,-6.7153
2016-11-30,0.1565
2016-12-01,-4.2188
2016-12-02,-13.8662
2016-12-05,-9.0909
