ticker,CBRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1818
2000-01-04,-6.8075
2000-01-05,0.0
2000-01-06,1.2594
2000-01-07,0.7463
2000-01-10,3.7037
2000-01-11,0.4762
2000-01-12,-4.0284
2000-01-13,3.7037
2000-01-14,-1.6667
2000-01-18,-2.4213
2000-01-19,0.9926
2000-01-20,2.457
2000-01-21,-0.2398
2000-01-24,-8.8942
2000-01-25,-7.3879
2000-01-26,7.4074
2000-01-27,1.8568
2000-01-28,-6.25
2000-01-31,1.1111
2000-02-01,3.2967
2000-02-02,-5.0532
2000-02-03,-4.7619
2000-02-04,-7.0588
2000-02-07,-5.3797
2000-02-08,-3.3445
2000-02-09,-1.3841
2000-02-10,4.2105
2000-02-11,-0.3367
2000-02-14,2.027
2000-02-15,-3.9735
2000-02-16,-0.6897
2000-02-17,4.1667
2000-02-18,-5.3333
2000-02-22,2.1127
2000-02-23,4.8276
2000-02-24,1.6447
2000-02-25,0.9709
2000-02-28,6.0897
2000-02-29,12.3867
2000-03-01,9.6774
2000-03-02,-11.5196
2000-03-03,-1.9391
2000-03-06,1.6949
2000-03-07,4.1667
2000-03-08,-0.5333
2000-03-09,1.6086
2000-03-10,-2.9024
2000-03-13,-1.3587
2000-03-14,-4.1322
2000-03-15,-0.2874
2000-03-16,-1.1527
2000-03-17,-0.8746
2000-03-20,-2.0588
2000-03-21,-1.2012
2000-03-22,3.6474
2000-03-23,-2.6393
2000-03-24,2.4096
2000-03-27,4.7059
2000-03-28,-3.6517
2000-03-29,-5.2478
2000-03-30,0.6154
2000-03-31,0.3058
2000-04-03,-3.6585
2000-04-04,1.5823
2000-04-05,-3.1153
2000-04-06,-1.2862
2000-04-07,-0.6515
2000-04-10,-3.9344
2000-04-11,-0.3413
2000-04-12,-4.1096
2000-04-13,-1.7856999999999998
2000-04-14,-9.818200000000001
2000-04-17,8.0645
2000-04-18,7.0896
2000-04-19,4.878
2000-04-20,-4.3189
2000-04-24,-11.4583
2000-04-25,14.5098
2000-04-26,-4.1096
2000-04-27,3.5714
2000-04-28,-0.3448
2000-05-01,3.8062
2000-05-02,-5.6667
2000-05-03,-0.3534
2000-05-04,6.0284
2000-05-05,-1.3378
2000-05-08,-4.0678
2000-05-09,-1.4134
2000-05-10,-3.9427
2000-05-11,5.9701
2000-05-12,-2.1127
2000-05-15,-2.1583
2000-05-16,0.0
2000-05-17,0.7353
2000-05-18,-4.0146
2000-05-19,1.1407
2000-05-22,-3.7594
