ticker,LMSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8692
2000-01-04,2.0408
2000-01-05,-6.2667
2000-01-06,-6.1166
2000-01-07,-1.2121
2000-01-10,-0.6135
2000-01-11,-1.0802
2000-01-12,-5.1482
2000-01-13,0.1645
2000-01-14,-0.821
2000-01-18,-1.9868000000000001
2000-01-19,8.2348
2000-01-20,14.5533
2000-01-21,-1.9074
2000-01-24,-1.1111
2000-01-25,-1.264
2000-01-26,2.1337
2000-01-27,0.1393
2000-01-28,-8.2058
2000-01-31,-6.8182
2000-02-01,-2.7641999999999998
2000-02-02,-1.505
2000-02-03,-2.5467
2000-02-04,-2.0906
2000-02-07,-5.516
2000-02-08,-2.8249
2000-02-09,0.5814
2000-02-10,3.2755
2000-02-11,19.5896
2000-02-14,-4.5242
2000-02-15,0.0
2000-02-16,-1.3072
2000-02-17,0.0
2000-02-18,12.9139
2000-02-22,-3.5191
2000-02-23,1.6717
2000-02-24,15.994
2000-02-25,11.7268
2000-02-28,5.1903
2000-02-29,11.8421
2000-03-01,-9.902
2000-03-02,-2.0675
2000-03-03,8.5556
2000-03-06,13.6131
2000-03-07,0.8108
2000-03-08,-0.6256
2000-03-09,-0.2923
2000-03-10,13.2807
2000-03-13,-2.8662
2000-03-14,-4.4262
2000-03-15,-2.8302
2000-03-16,1.8535
2000-03-17,-9.1854
2000-03-20,-14.8855
2000-03-21,-2.2422
2000-03-22,41.7431
2000-03-23,5.5016
2000-03-24,-4.1411
2000-03-27,4.32
2000-03-28,2.1471999999999998
2000-03-29,-5.1051
2000-03-30,-2.057
2000-03-31,10.8239
2000-04-03,-13.7026
2000-04-04,0.7601
2000-04-05,-3.1852
2000-04-06,-1.9912999999999998
2000-04-07,-5.3887
2000-04-10,-14.8459
2000-04-11,2.6316
2000-04-12,-11.9391
2000-04-13,-1.4862
2000-04-14,-11.33
2000-04-17,33.0556
2000-04-18,8.7683
2000-04-19,-6.9098
2000-04-20,0.6186
2000-04-24,1.6393
2000-04-25,6.0484
2000-04-26,-1.7109999999999999
2000-04-27,2.5145
2000-04-28,-1.6981000000000002
2000-05-01,5.5662
2000-05-02,0.1818
2000-05-03,1.8149
2000-05-04,-2.6738
2000-05-05,-1.9231
2000-05-08,1.5873
2000-05-09,-8.7316
2000-05-10,-9.1641
2000-05-11,18.847
2000-05-12,-2.9851
2000-05-15,3.6538
2000-05-16,3.525
2000-05-17,-0.6272
2000-05-18,-6.2218
2000-05-19,-5.9615
