ticker,RPD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-17,58.0
2015-07-20,-8.6234
2015-07-21,-0.6926
2015-07-22,4.4028
2015-07-23,0.6263
2015-07-24,-0.4149
2015-07-27,-1.25
2015-07-28,5.5696
2015-07-29,-6.6747
2015-07-30,2.1413
2015-07-31,-3.6478
2015-08-03,-11.0966
2015-08-04,-3.0837
2015-08-05,7.0202
2015-08-06,-6.0878
2015-08-07,5.2764
2015-08-10,5.4415
2015-08-11,-2.2182
2015-08-12,-3.1481
2015-08-13,2.6769
2015-08-14,2.2346
2015-08-17,4.326
2015-08-18,6.4164
2015-08-19,1.3946
2015-08-20,-3.8834999999999997
2015-08-21,-11.1532
2015-08-24,-2.9370000000000003
2015-08-25,1.8058
2015-08-26,7.1908
2015-08-27,-2.6834
2015-08-28,-0.5974
2015-08-31,-2.4965
2015-09-01,-3.8881
2015-09-02,2.7134
2015-09-03,-2.1134
2015-09-04,-2.0608
2015-09-08,2.3547000000000002
2015-09-09,-0.7342
2015-09-10,3.7968
2015-09-11,-2.1853
2015-09-14,-1.3599
2015-09-15,0.9355
2015-09-16,0.8293
2015-09-17,5.1282
2015-09-18,3.5895
2015-09-21,11.1062
2015-09-22,-1.3595
2015-09-23,-0.1621
2015-09-24,0.0812
2015-09-25,-1.2982
2015-09-28,-3.4114
2015-09-29,-0.5957
2015-09-30,-2.6113
2015-10-01,-2.1538
2015-10-02,-0.2246
2015-10-05,-4.3674
2015-10-06,-0.8004
2015-10-07,5.6478
2015-10-08,4.5822
2015-10-09,1.2887
2015-10-12,-1.3147
2015-10-13,-1.1173
2015-10-14,-10.5606
2015-10-15,0.826
2015-10-16,1.1566
2015-10-19,-0.7623
2015-10-20,-0.4801
2015-10-21,-11.9151
2015-10-22,2.5192
2015-10-23,-0.1603
2015-10-26,0.2675
2015-10-27,-0.2668
2015-10-28,8.9353
2015-10-29,0.6876
2015-10-30,0.2927
2015-11-02,2.8696
2015-11-03,2.8369
2015-11-04,1.0575
2015-11-05,-5.05
2015-11-06,2.9229000000000003
2015-11-09,-1.9553
2015-11-10,-0.0475
2015-11-11,0.1425
2015-11-12,-0.8539
2015-11-13,-4.4498
2015-11-16,1.2018
2015-11-17,2.4245
2015-11-18,-1.8841
2015-11-19,-5.4653
2015-11-20,-3.5937
2015-11-23,-1.8368
2015-11-24,-3.6324
2015-11-25,-1.3706
2015-11-27,-0.8107
2015-11-30,0.0
2015-12-01,-1.0508
2015-12-02,0.354
2015-12-03,-2.1752
