ticker,PDM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-10,7.5862
2010-02-11,0.9615
2010-02-12,1.5873
2010-02-16,2.5
2010-02-17,0.8537
2010-02-18,4.2926
2010-02-19,3.5942
2010-02-22,-4.8685
2010-02-23,-0.1765
2010-02-24,-0.5303
2010-02-25,0.3555
2010-02-26,-1.1216
2010-03-01,1.4925
2010-03-02,4.8235
2010-03-03,-4.321
2010-03-04,0.8798
2010-03-05,1.1628
2010-03-08,-0.3448
2010-03-09,1.4994
2010-03-10,0.4545
2010-03-11,1.0464
2010-03-12,0.5698
2010-03-15,1.1331
2010-03-16,4.1457
2010-03-17,2.4744
2010-03-18,0.6824
2010-03-19,1.0949
2010-03-22,0.8767
2010-03-23,-1.0735999999999999
2010-03-24,-0.0517
2010-03-25,0.0
2010-03-26,2.6887
2010-03-29,1.712
2010-03-30,-3.3663
2010-03-31,1.6905999999999999
2010-04-01,-1.0579
2010-04-05,0.5601
2010-04-06,0.2532
2010-04-07,-1.0606
2010-04-08,0.9699
2010-04-09,1.8199999999999998
2010-04-12,0.0
2010-04-13,-0.5958
2010-04-14,0.3996
2010-04-15,-1.4428
2010-04-16,-1.6153
2010-04-19,-0.1026
2010-04-20,0.0
2010-04-21,-0.1027
2010-04-22,0.5141
2010-04-23,2.2506
2010-04-26,0.2501
2010-04-27,-2.2455
2010-04-28,0.8678
2010-04-29,1.8218999999999999
2010-04-30,-0.3976
2010-05-03,1.0977999999999999
2010-05-04,0.4936
2010-05-05,-1.7682
2010-05-06,-2.3
2010-05-07,-0.5629
2010-05-10,1.9557
2010-05-11,-0.0505
2010-05-12,-0.1515
2010-05-13,-1.0116
2010-05-14,-0.4088
2010-05-17,-1.2314
2010-05-18,-3.013
2010-05-19,-0.857
2010-05-20,-0.9184
2010-05-21,2.0174
2010-05-24,-2.9396
2010-05-25,-1.4317
2010-05-26,4.4693
2010-05-27,2.0856
2010-05-28,-0.5762
2010-06-01,-0.843
2010-06-02,-0.5845
2010-06-03,-0.7483
2010-06-04,-1.8309
2010-06-07,-0.8777
2010-06-08,1.1068
2010-06-09,0.9852
2010-06-10,3.6314
2010-06-11,1.0722
2010-06-14,1.4203000000000001
2010-06-15,0.8299
2010-06-16,0.6687
2010-06-17,0.1022
2010-06-18,1.072
2010-06-21,-2.4747
2010-06-22,-3.5733
2010-06-23,1.3426
2010-06-24,0.106
2010-06-25,2.8057
2010-06-28,-0.8754
2010-06-29,-2.8052
2010-06-30,0.1069
