ticker,IGMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-18,51.875
2019-09-19,-14.9794
2019-09-20,3.5818
2019-09-23,-1.8692
2019-09-24,-1.4285999999999999
2019-09-25,-4.2029
2019-09-26,-8.6233
2019-09-27,-1.1589
2019-09-30,-0.8934
2019-10-01,-0.3944
2019-10-02,-1.0181
2019-10-03,3.8286
2019-10-04,0.0
2019-10-07,0.055
2019-10-08,-1.5952
2019-10-09,-0.3913
2019-10-10,-2.1886
2019-10-11,-1.0327
2019-10-14,6.6087
2019-10-15,3.0451
2019-10-16,-1.9525000000000001
2019-10-17,1.3455
2019-10-18,0.9028
2019-10-21,0.1579
2019-10-22,-0.9459
2019-10-23,10.9284
2019-10-24,4.1129
2019-10-25,5.7878
2019-10-28,2.6921
2019-10-29,0.6342
2019-10-30,-0.4202
2019-10-31,-2.1097
2019-11-01,-3.1034
2019-11-04,6.7171
2019-11-05,-0.792
2019-11-06,-0.8824
2019-11-07,-1.0174
2019-11-08,2.2698
2019-11-11,0.4188
2019-11-12,0.0417
2019-11-13,6.0859
2019-11-14,5.6974
2019-11-15,4.6468
2019-11-18,-9.1652
2019-11-19,-4.1455
2019-11-20,-1.02
2019-11-21,-14.550699999999999
2019-11-22,-3.232
2019-11-25,12.2632
2019-11-26,2.3979
2019-11-27,-0.954
2019-11-29,-1.007
2019-12-02,-11.4551
2019-12-03,-0.5994
2019-12-04,11.608
2019-12-05,-3.1067
2019-12-06,5.5762
2019-12-09,13.3363
2019-12-10,6.2524
2019-12-11,-3.7645999999999997
2019-12-12,6.6084
2019-12-13,3.5981
2019-12-16,3.6451000000000002
2019-12-17,0.4977
2019-12-18,13.5358
2019-12-19,6.688
2019-12-20,14.9905
2019-12-23,9.2202
2019-12-24,0.9766
2019-12-26,6.4045
2019-12-27,-17.3702
2019-12-30,3.8377
2019-12-31,-10.1695
2020-01-02,-4.7694
2020-01-03,-8.393
2020-01-06,-0.6609
2020-01-07,-0.756
2020-01-08,1.0055
2020-01-09,3.4389
2020-01-10,0.2041
2020-01-13,-5.6461
2020-01-14,-1.2338
2020-01-15,1.4990999999999999
2020-01-16,3.2308
2020-01-17,7.0939
2020-01-21,0.7793
2020-01-22,8.7269
2020-01-23,1.7018
2020-01-24,-0.5245
2020-01-27,-0.4017
2020-01-28,0.7058
2020-01-29,-7.7847
2020-01-30,-3.8817
2020-01-31,-4.0102
2020-02-03,14.416
2020-02-04,2.2371
2020-02-05,1.2827
2020-02-06,0.5711
