ticker,NOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-29,36.6667
2012-07-02,0.6911
2012-07-03,2.1801
2012-07-05,2.5682
2012-07-06,-0.4622
2012-07-09,-2.2059
2012-07-10,-0.8706
2012-07-11,-5.2455
2012-07-12,1.4493
2012-07-13,0.4153
2012-07-16,0.8271
2012-07-17,-0.4512
2012-07-18,-0.1648
2012-07-19,-0.9492
2012-07-20,5.125
2012-07-23,-3.4879
2012-07-24,2.0123
2012-07-25,0.3623
2012-07-26,-2.0457
2012-07-27,3.7265
2012-07-30,0.2369
2012-07-31,6.3411
2012-08-01,2.6296
2012-08-02,4.9441
2012-08-03,-1.4099
2012-08-06,-2.2672
2012-08-07,-0.0714
2012-08-08,-1.5356999999999998
2012-08-09,7.0366
2012-08-10,7.2518
2012-08-13,2.4645
2012-08-14,-0.4625
2012-08-15,-8.0545
2012-08-16,0.2358
2012-08-17,-0.5042
2012-08-20,0.9797
2012-08-21,1.2379
2012-08-22,-1.3549
2012-08-23,-2.7471
2012-08-24,2.308
2012-08-27,-1.4478
2012-08-28,0.1708
2012-08-29,0.5798
2012-08-30,0.9834
2012-08-31,4.4325
2012-09-04,8.2637
2012-09-05,1.5444
2012-09-06,5.4694
2012-09-07,1.3588
2012-09-10,-5.9097
2012-09-11,-4.0128
2012-09-12,6.1799
2012-09-13,7.0185
2012-09-14,4.1322
2012-09-17,-2.2273
2012-09-18,-3.6397
2012-09-19,5.0272
2012-09-20,-1.6818
2012-09-21,4.2895
2012-09-24,1.8673
2012-09-25,-0.9413
2012-09-26,-4.7762
2012-09-27,5.1471
2012-09-28,-3.3966
2012-10-01,-5.6876999999999995
2012-10-02,0.0548
2012-10-03,1.4521
2012-10-04,0.3241
2012-10-05,-0.4038
2012-10-08,-1.2703
2012-10-09,-1.4509
2012-10-10,-3.3889
2012-10-11,-0.8051
2012-10-12,-3.4203
2012-10-15,3.5714
2012-10-16,-0.5795
2012-10-17,1.3407
2012-10-18,0.0575
2012-10-19,-1.2647
2012-10-22,-2.6492
2012-10-23,3.3493
2012-10-24,3.1539
2012-10-25,-11.9495
2012-10-26,1.5929
2012-10-31,-3.8884
2012-11-01,1.2724
2012-11-02,3.5438
2012-11-05,0.4356
2012-11-06,2.0756
2012-11-07,-5.1593
2012-11-08,-1.12
2012-11-09,-2.6861
2012-11-12,-1.3635
2012-11-13,-0.6069
2012-11-14,-2.6119
2012-11-15,10.728
2012-11-16,-4.5297
2012-11-19,2.3394
2012-11-20,1.9639
