ticker,GELV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-02,3.4483
2009-02-19,-16.6667
2009-03-06,-50.0
2009-03-09,60.0
2009-04-14,-25.0
2009-04-15,0.0
2009-06-12,-93.3333
2009-06-15,1950.0
2009-06-17,-51.2195
2009-06-22,0.0
2009-06-26,-80.0
2009-06-29,395.0
2009-07-24,51.5152
2009-07-30,0.0
2009-07-31,-16.6667
2009-08-12,20.0
2009-08-17,-50.0
2009-08-19,200.0
2009-08-20,0.0
2009-08-25,-40.0
2009-08-27,-11.1111
2009-08-28,0.0
2009-08-31,0.0
2009-09-01,-12.5
2009-09-02,-37.1429
2009-09-03,-3.4091
2009-09-08,17.647100000000002
2009-09-10,0.0
2009-09-15,14.0
2009-09-16,75.4386
2009-09-17,0.0
2009-09-18,-39.0
2009-09-23,88.5246
2009-09-24,-26.087
2009-09-25,17.647100000000002
2009-09-28,0.0
2009-09-29,20.0
2009-09-30,0.0
2009-10-07,0.0
2009-10-08,-54.1667
2009-10-09,18.1818
2009-10-12,7.6923
2009-10-13,5.7143
2009-10-14,2.7027
2009-10-15,-21.0526
2009-10-16,-35.0
2009-10-19,-15.3846
2009-10-20,-16.2879
2009-10-21,12.2172
2009-10-22,-3.2258
2009-10-23,0.0
2009-10-26,-6.6667
2009-10-27,25.0
2009-10-28,-11.4286
2009-10-29,-3.2258
2009-10-30,10.0
2009-11-02,-15.1515
2009-11-03,0.0
2009-11-04,0.0
2009-11-05,-3.5714
2009-11-09,-3.7037
2009-11-10,-7.6923
2009-11-11,22.1354
2009-11-12,-7.8891
2009-11-13,7.4074
2009-11-16,13.7931
2009-11-17,-9.0909
2009-11-18,-0.4167
2009-11-19,3.7657
2009-11-20,3.2258
2009-11-23,-3.125
2009-11-24,-6.4516
2009-11-25,-3.4483
2009-11-27,-4.0179
2009-11-30,-25.5814
2009-12-01,0.0
2009-12-02,5.0
2009-12-03,4.7619
2009-12-04,-9.0909
2009-12-07,79.375
2009-12-08,-16.7247
2009-12-09,-20.2929
2009-12-10,2.8871
2009-12-11,0.0
2009-12-14,-4.8469
2009-12-15,-1.3405
2009-12-16,-8.6957
2009-12-17,-3.2738
2009-12-18,5.8462
2009-12-21,0.8721
2009-12-22,-7.781
2009-12-23,-4.375
2009-12-24,-5.8824
2009-12-28,-2.7778
2009-12-29,-5.0
2009-12-30,-1.5038
2009-12-31,-2.2901
2010-01-04,-3.125
2010-01-05,0.0
2010-01-06,3.2258
2010-01-07,3.125
2010-01-08,-4.9242
