ticker,SINT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-13,-6.2609
2014-02-14,5.3803
2014-02-18,1.9365999999999999
2014-02-19,16.9257
2014-02-20,4.8744
2014-02-21,10.5634
2014-02-24,12.2293
2014-02-25,-8.5131
2014-02-26,-4.4665
2014-02-27,-0.6494
2014-02-28,-6.6667
2014-03-03,1.1204
2014-03-04,4.0166
2014-03-05,-3.8615
2014-03-06,3.1856
2014-03-07,0.0
2014-03-10,-2.5503
2014-03-11,0.551
2014-03-12,0.0
2014-03-13,1.3699
2014-03-14,-1.2162
2014-03-17,-0.1368
2014-03-18,5.8904
2014-03-19,-1.6818
2014-03-20,-2.1053
2014-03-21,4.1667
2014-03-24,5.1613
2014-03-25,1.3497
2014-03-26,-6.0533
2014-03-27,0.2577
2014-03-28,-2.1851
2014-03-31,-1.1827
2014-04-01,1.8617
2014-04-02,-0.2611
2014-04-03,-1.3089
2014-04-04,-0.5305
2014-04-07,0.0
2014-04-08,-0.5333
2014-04-09,0.2681
2014-04-10,0.1337
2014-04-11,-2.1362
2014-04-14,1.2278
2014-04-15,0.9434
2014-04-16,-2.5366999999999997
2014-04-17,2.0548
2014-04-21,0.6711
2014-04-22,-3.4667
2014-04-23,-3.453
2014-04-24,5.1502
2014-04-25,-6.5306
2014-04-28,0.0
2014-04-29,-3.3479
2014-04-30,0.9036
2014-05-01,-1.4925
2014-05-02,-5.4545
2014-05-05,-1.9231
2014-05-06,-0.1634
2014-05-07,-0.3273
2014-05-08,0.821
2014-05-09,-2.2801
2014-05-12,0.5
2014-05-13,0.995
2014-05-14,-0.821
2014-05-15,1.3245
2014-05-16,-0.1634
2014-05-19,-1.8003
2014-05-20,0.0
2014-05-21,1.8333
2014-05-22,-1.1457
2014-05-23,2.3179
2014-05-27,1.2945
2014-05-28,-1.9169
2014-05-29,-2.443
2014-05-30,0.0
2014-06-02,-4.1736
2014-06-03,-5.9233
2014-06-04,-10.0
2014-06-05,4.5267
2014-06-06,-1.7717
2014-06-09,-4.4088
2014-06-10,-4.1929
2014-06-11,-1.5316999999999998
2014-06-12,10.0
2014-06-13,-1.2121
2014-06-16,-3.0675
2014-06-17,2.1097
2014-06-18,1.4463
2014-06-19,-2.8513
2014-06-20,-2.0964
2014-06-23,0.4283
2014-06-24,3.838
2014-06-25,-3.4908
2014-06-26,-0.2128
2014-06-27,-0.8529
2014-06-30,-3.0108
2014-07-01,0.2217
2014-07-02,0.0
2014-07-03,-1.5487
2014-07-07,3.8202
