ticker,ASND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-28,4.6111
2015-01-29,6.2135
2015-01-30,-0.85
2015-02-02,-3.7821
2015-02-03,-0.4717
2015-02-04,-3.5808
2015-02-05,-2.1846
2015-02-06,0.4746
2015-02-09,0.3056
2015-02-10,1.2187999999999999
2015-02-11,-1.2042
2015-02-12,-0.277
2015-02-13,-0.1111
2015-02-17,-0.1112
2015-02-18,0.2227
2015-02-19,7.2222
2015-02-20,0.2073
2015-02-23,-5.8945
2015-02-24,1.5385
2015-02-25,-0.6494
2015-02-26,0.2179
2015-02-27,-3.6413
2015-03-02,1.3536000000000001
2015-03-03,0.1669
2015-03-04,0.0
2015-03-05,-0.1111
2015-03-06,-0.3893
2015-03-09,-0.335
2015-03-10,-1.0084
2015-03-11,0.1698
2015-03-12,2.2599
2015-03-13,-1.6575
2015-03-16,2.191
2015-03-17,-1.8142
2015-03-18,2.5196
2015-03-19,-0.7646
2015-03-20,-3.3021
2015-03-23,2.4474
2015-03-24,-0.1111
2015-03-25,-1.1123
2015-03-26,-1.0686
2015-03-27,1.137
2015-03-30,-1.7426
2015-03-31,-0.7437
2015-04-01,0.4611
2015-04-02,-0.2295
2015-04-06,0.23
2015-04-07,0.8606
2015-04-08,4.4937000000000005
2015-04-09,-1.742
2015-04-10,0.0
2015-04-13,-3.1025
2015-04-14,1.4866
2015-04-15,-0.6197
2015-04-16,7.1995000000000005
2015-04-17,3.3316
2015-04-20,1.1771
2015-04-21,3.3890000000000002
2015-04-22,-0.1957
2015-04-23,2.2549
2015-04-24,-4.1227
2015-04-27,-1.5
2015-04-28,-7.4619
2015-04-29,-5.3758
2015-04-30,-1.2753999999999999
2015-05-01,3.0534
2015-05-04,-1.7664
2015-05-05,-6.4385
2015-05-06,0.248
2015-05-07,-0.1855
2015-05-08,1.8587
2015-05-11,0.4866
2015-05-12,1.7553999999999998
2015-05-13,0.0
2015-05-14,3.3908
2015-05-15,-0.5754
2015-05-18,1.6782
2015-05-19,1.0245
2015-05-20,1.8873
2015-05-21,-0.9677
2015-05-22,-1.3959
2015-05-26,-1.9819
2015-05-27,-6.9324
2015-05-28,0.3104
2015-05-29,3.0322
2015-06-01,-3.3634
2015-06-02,0.8701
2015-06-03,3.2039
2015-06-04,0.7164
2015-06-05,-0.8892
2015-06-08,-2.2129
2015-06-09,-1.4679
2015-06-10,-1.7069999999999999
2015-06-11,1.6104
2015-06-12,2.2374
2015-06-15,6.5046
2015-06-16,2.7397
