ticker,FTDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-14,23.3333
2018-09-17,0.0
2018-09-18,0.2703
2018-09-19,1.0782
2018-09-20,1.3333
2018-09-21,1.8683999999999998
2018-09-24,0.93
2018-09-25,2.5083
2018-09-26,-0.1248
2018-09-27,9.55
2018-09-28,-6.4354
2018-10-01,2.439
2018-10-02,3.6667
2018-10-03,-1.3780000000000001
2018-10-04,1.6768
2018-10-05,3.4356
2018-10-08,3.0558
2018-10-09,4.3618
2018-10-10,-8.9767
2018-10-11,-10.6989
2018-10-12,1.2665
2018-10-15,-0.5753
2018-10-16,1.6604
2018-10-17,-3.5635
2018-10-18,-1.6166
2018-10-19,-2.8169
2018-10-22,0.9125
2018-10-23,0.8511
2018-10-24,-5.0897
2018-10-25,-2.7508
2018-10-26,-5.0571
2018-10-29,-4.1529
2018-10-30,-0.7849
2018-10-31,7.7532
2018-11-01,4.8751999999999995
2018-11-02,-1.9322
2018-11-05,0.3141
2018-11-06,-29.1773
2018-11-07,-7.1543
2018-11-08,-8.355
2018-11-09,5.2433
2018-11-12,-1.8401999999999998
2018-11-13,1.5089000000000001
2018-11-14,-1.1261
2018-11-15,-1.4123
2018-11-16,-2.5878
2018-11-19,8.3491
2018-11-20,1.007
2018-11-21,-0.7369
2018-11-23,-1.7904
2018-11-26,0.3557
2018-11-27,0.9304
2018-11-28,-1.0536
2018-11-29,-0.8429
2018-11-30,4.2058
2018-12-03,-0.3864
2018-12-04,-3.4052
2018-12-06,1.2941
2018-12-07,-0.9251
2018-12-10,-0.4002
2018-12-11,-1.1161
2018-12-12,-0.1354
2018-12-13,-0.0452
2018-12-14,3.0755
2018-12-17,0.0878
2018-12-18,1.4466999999999999
2018-12-19,1.7718
2018-12-20,-0.4671
2018-12-21,-0.384
2018-12-24,3.94
2018-12-26,4.4499
2018-12-27,-0.0394
2018-12-28,1.4207
2018-12-31,3.5409
2019-01-02,-0.4885
2019-01-03,-3.7387
2019-01-04,5.9239
2019-01-07,2.7407
2019-01-08,0.6128
2019-01-09,-4.6937
2019-01-10,-0.6391
2019-01-11,-1.5133999999999999
2019-01-14,1.6904
2019-01-15,4.5712
2019-01-16,1.0477
2019-01-17,1.0368
2019-01-18,0.9554
2019-01-22,-1.2618
2019-01-23,3.2659000000000002
2019-01-24,-2.6126
2019-01-25,0.9531
2019-01-28,0.3497
2019-01-29,3.3798
2019-01-30,-1.0448
2019-01-31,1.2262
2019-02-01,1.0767
2019-02-04,-2.996
