ticker,NKSJF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-04-15,74.7664
2002-04-23,-7.5354
2002-08-28,-17.0082
2003-02-20,-10.662
2003-06-10,17.1217
2003-09-16,23.2101
2004-09-07,-10.8108
2004-11-05,17.7598
2005-01-14,8.5929
2005-01-21,0.3169
2005-01-26,-4.6467
2005-02-23,6.5236
2005-05-23,-27.5494
2005-06-30,5.6566
2005-07-01,-0.0254
2005-07-06,0.4023
2005-08-09,4.4189
2005-09-02,-1.4493
2005-09-08,-4.4118
2005-09-09,-0.3077
2005-09-12,0.3086
2005-09-21,3.0769
2005-09-22,-2.9851
2005-09-23,0.9911
2005-09-28,-1.6835
2005-10-06,-0.6849
2005-10-07,0.5517
2005-10-18,-4.321
2005-10-20,-2.8674
2005-11-15,4.059
2005-11-22,1.9858
2005-11-25,0.8345
2005-12-28,6.2069
2006-02-03,0.974
2006-04-20,13.1833
2006-06-01,-11.5637
2006-07-07,0.6757
2006-07-10,-2.4832
2006-07-11,1.17
2006-07-12,3.4013999999999998
2006-07-13,-1.3158
2006-07-14,-2.3333
2006-07-18,-2.0478
2006-07-19,0.0
2006-07-24,3.1359
2006-07-25,1.3514
2006-07-31,4.0
2006-08-02,0.9615
2006-08-03,0.3175
2006-08-07,1.2658
2006-08-09,-0.625
2006-08-23,-4.717
2006-08-24,-1.9802
2006-09-18,3.7037
2006-10-12,0.6494
2006-10-24,0.3226
2006-11-20,5.9164
2006-11-21,0.3643
2007-01-16,2.2384
2007-02-12,5.6213
2007-03-01,-0.2521
2007-04-27,-9.997
2007-04-30,0.3289
2007-05-08,-3.6066000000000003
2007-05-15,2.7211
2007-06-15,-1.6556
2007-06-21,2.0202
2007-06-27,-3.9604
2007-07-10,-0.3436
2007-07-12,2.7586
2007-07-18,-1.3423
2007-07-20,2.0408
2007-07-25,-1.0
2007-07-31,-3.0303
2007-08-10,-11.8056
2007-08-20,-5.9055
2007-08-21,-1.6360000000000001
2007-08-24,5.4915
2007-08-27,-1.2097
2007-08-29,-2.8571
2007-08-31,0.0
2007-09-10,-6.3025
2007-09-11,2.6906
2007-09-12,-2.6201
2007-09-14,2.6906
2007-09-18,-3.0568
2007-09-20,4.0541
2007-09-24,0.4329
2007-09-25,-5.7532
2007-09-26,3.3604
2007-09-28,-7.0796
2007-10-02,3.8095
2007-10-03,-5.9633
2007-10-04,-3.4146
2007-10-05,0.0
2007-10-10,-0.5051
2007-10-11,2.0305
2007-10-12,-4.4776
2007-10-15,-6.25
