ticker,KNOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,3.7619
2013-04-11,0.8261
2013-04-12,1.1834
2013-04-15,0.045
2013-04-16,-0.2248
2013-04-17,-0.5858
2013-04-18,-0.0907
2013-04-19,0.1361
2013-04-22,0.589
2013-04-23,0.0901
2013-04-24,-0.405
2013-04-25,0.6778
2013-04-26,0.0898
2013-04-29,0.6278
2013-04-30,-0.1788
2013-05-01,0.4023
2013-05-02,0.9337
2013-05-03,0.6608
2013-05-06,0.6127
2013-05-07,1.7833999999999999
2013-05-08,0.4701
2013-05-09,-0.4254
2013-05-10,-0.0854
2013-05-13,1.5391
2013-05-14,-1.0526
2013-05-15,-0.8511
2013-05-16,0.0
2013-05-17,1.4592
2013-05-20,2.0093
2013-05-21,1.8039
2013-05-22,-0.2037
2013-05-23,-1.8367
2013-05-24,0.2495
2013-05-28,0.1659
2013-05-29,-0.5383
2013-05-30,-0.0833
2013-05-31,-2.75
2013-06-03,0.1714
2013-06-04,0.5988
2013-06-05,-2.9762
2013-06-06,-0.0438
2013-06-07,0.7234
2013-06-10,-0.5005
2013-06-11,-1.5748
2013-06-12,0.4444
2013-06-13,0.6195
2013-06-14,0.6157
2013-06-17,-0.1311
2013-06-18,-0.4376
2013-06-19,-0.9451
2013-06-20,-1.9747
2013-06-21,-1.2223
2013-06-24,-1.4665
2013-06-25,-1.8605
2013-06-26,3.0806
2013-06-27,2.0391
2013-06-28,-0.7818
2013-07-01,1.4986
2013-07-02,1.7896999999999998
2013-07-03,-1.0989
2013-07-05,-1.5110999999999999
2013-07-08,1.083
2013-07-09,0.4464
2013-07-10,0.2667
2013-07-11,1.6401
2013-07-12,2.8346999999999998
2013-07-15,0.1272
2013-07-16,0.4659
2013-07-17,-2.1079
2013-07-18,3.1008
2013-07-19,-1.4202
2013-07-22,1.5678
2013-07-23,5.8824
2013-07-24,-3.9401
2013-07-25,-0.3281
2013-07-26,-1.2757
2013-07-29,2.5427
2013-07-30,-1.0163
2013-07-31,-0.4517
2013-08-01,0.2364
2013-08-02,-0.5004
2013-08-05,-2.4728
2013-08-06,-1.1602999999999999
2013-08-07,1.8260999999999998
2013-08-08,-1.7933
2013-08-09,-2.8261
2013-08-12,3.7136
2013-08-13,-1.1217
2013-08-14,1.2652999999999999
2013-08-15,1.6803
2013-08-16,0.8475
2013-08-19,-1.4285999999999999
2013-08-20,0.8094
2013-08-21,-0.38
2013-08-22,1.9525000000000001
2013-08-23,0.1665
2013-08-26,0.2078
