ticker,EVLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-09,1.5625
2018-05-10,-0.6154
2018-05-11,-0.9288
2018-05-14,0.625
2018-05-15,-0.6211
2018-05-16,0.0625
2018-05-17,-0.0625
2018-05-18,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,1.625
2018-05-29,-1.6604999999999999
2018-05-30,-1.8761999999999999
2018-05-31,1.2747
2018-06-01,0.5035
2018-06-04,0.1879
2018-06-05,0.25
2018-06-06,-0.5611
2018-06-07,-5.6426
2018-06-08,-1.9933999999999998
2018-06-11,-5.7627
2018-06-12,1.5108000000000001
2018-06-13,-6.8037
2018-06-14,-9.0494
2018-06-15,-4.7659
2018-06-18,5.5312
2018-06-19,1.7471
2018-06-20,10.7931
2018-06-21,1.2546
2018-06-22,-3.0612
2018-06-25,-5.3383
2018-06-26,-3.0977
2018-06-27,-5.6556999999999995
2018-06-28,2.6064
2018-06-29,-0.0847
2018-07-02,1.4407
2018-07-03,1.9215
2018-07-05,7.7869
2018-07-06,-4.6388
2018-07-09,-0.3987
2018-07-10,3.3627000000000002
2018-07-11,0.1549
2018-07-12,1.7015
2018-07-13,-0.8365
2018-07-16,1.0735999999999999
2018-07-17,4.6282
2018-07-18,1.1602999999999999
2018-07-19,5.8065
2018-07-20,-1.8293
2018-07-23,-1.6562999999999999
2018-07-24,-3.8596
2018-07-25,-1.3139
2018-07-26,-0.3698
2018-07-27,-3.4892
2018-07-30,-2.7692
2018-07-31,0.0
2018-08-01,3.8766
2018-08-02,3.5034
2018-08-03,-6.6225000000000005
2018-08-06,-0.788
2018-08-07,-1.9062999999999999
2018-08-08,4.2915
2018-08-09,-0.2329
2018-08-10,2.179
2018-08-13,0.6855
2018-08-14,-0.9834
2018-08-15,0.9931
2018-08-16,1.1346
2018-08-17,-6.8811
2018-08-20,3.1325
2018-08-21,2.8037
2018-08-22,-6.2879
2018-08-23,2.1827
2018-08-24,8.7025
2018-08-27,0.0728
2018-08-28,-0.5091
2018-08-29,-0.2193
2018-08-30,-1.4652
2018-08-31,0.1487
2018-09-04,-1.7075
2018-09-05,1.0574
2018-09-06,-2.0927
2018-09-07,-1.0687
2018-09-10,0.6173
2018-09-11,-1.7638
2018-09-12,1.0929
2018-09-13,2.6254999999999997
2018-09-14,-1.0534
2018-09-17,0.4563
2018-09-18,2.7252
2018-09-19,-0.0737
2018-09-20,-0.5162
2018-09-21,-6.0786
2018-09-24,-3.3149
