ticker,FSKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-18,-8.1119
2020-06-19,4.2618
2020-06-22,-5.1095
2020-06-23,0.5385
2020-06-24,-0.5356
2020-06-25,0.2308
2020-06-26,0.0767
2020-06-29,-1.1503
2020-06-30,0.0
2020-07-01,2.0171
2020-07-02,-0.1521
2020-07-06,-0.5331
2020-07-07,0.2297
2020-07-08,-2.0626
2020-07-09,-4.4462
2020-07-10,1.6327
2020-07-13,2.9718999999999998
2020-07-14,1.092
2020-07-15,3.4722
2020-07-16,0.9694
2020-07-17,2.5849
2020-07-20,1.1519
2020-07-21,1.9929000000000001
2020-07-22,3.7683
2020-07-23,-2.152
2020-07-24,0.0687
2020-07-27,2.0604
2020-07-28,-1.0767
2020-07-29,-0.4762
2020-07-30,-1.0253
2020-07-31,-1.5884
