ticker,ACBCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-15,-51.4563
2000-03-20,110.0
2000-03-21,-14.2857
2000-04-26,-44.4444
2000-06-15,2.5
2000-06-16,17.0732
2000-06-28,-16.6667
2000-07-12,0.0
2000-07-14,2.5
2000-07-19,17.0732
2000-08-04,-12.5
2000-08-15,-4.7619
2000-08-21,20.0
2000-08-29,-16.6667
2000-09-20,2.5
2000-09-21,-2.439
2000-11-15,0.0
2000-11-20,10.0
2000-11-29,-9.0909
2000-12-22,0.0
2001-01-18,5.0
2001-01-26,-2.3810000000000002
2001-03-22,112.1951
2001-03-23,-17.2414
2001-05-15,-41.1111
2001-06-07,13.2075
2001-10-26,0.0
2001-11-30,18.75
2001-12-11,-1.7544
2002-01-07,10.0
2002-01-18,14.2857
2002-01-23,-12.5
2002-02-07,7.1429
2002-02-20,-3.2
2002-03-05,3.3058
2002-03-08,0.0
2002-03-11,-3.3333
2002-04-29,4.1379
2002-05-28,-0.6623
2002-06-11,6.6667
2002-08-02,2.5
2002-08-06,0.0
2002-08-20,3.6585
2002-08-26,-1.2397
2002-10-14,3.0421
2003-04-01,4.0462
2003-04-04,22.2222
2003-06-23,0.0
2003-06-26,13.6364
2003-06-30,0.0
2003-12-11,-8.0
2003-12-24,0.0
2004-01-23,-10.8696
2004-02-09,4.878
2004-02-10,2.3256
2004-02-11,-4.5455
2004-02-13,9.5238
2004-03-11,0.0
2004-03-12,4.3478
2004-03-15,4.1667
2004-04-12,-4.0
2004-04-14,-4.1667
2004-05-14,4.3478
2004-06-18,4.1667
2004-08-04,10.0
2004-08-30,0.0
2004-10-29,0.0
2004-11-10,12.0
2004-11-17,-1.7856999999999998
2005-01-03,-7.2727
2005-01-26,9.8039
2005-03-02,5.3571
2005-04-06,0.0
2005-04-19,1.6949
2005-04-21,-6.3333
2005-04-25,6.7616
2005-05-16,-4.6667
2005-05-17,1.3986
2005-06-13,0.0
2005-06-21,0.3448
2005-06-22,0.0
2005-07-15,3.0928
2005-07-26,3.3333
2005-08-15,3.871
2005-09-20,0.0
2005-09-21,0.0
2005-12-19,11.8012
2005-12-28,11.1111
2006-01-20,0.0
2006-01-25,-14.0
2006-01-26,4.6512
2006-01-27,5.5556
2006-02-01,15.7895
2006-03-27,0.0
2006-06-29,19.3182
2006-08-18,0.0
2006-09-05,34.2857
2006-09-12,-25.3191
2006-09-13,0.0
2006-09-15,13.9601
2006-09-18,-1.25
2006-09-21,46.8354
2006-09-26,-17.2414
