ticker,RTLR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-23,9.9429
2019-05-24,-1.7671999999999999
2019-05-28,1.6402
2019-05-29,-0.7808
2019-05-30,-0.787
2019-05-31,-1.0048
2019-06-03,-0.3739
2019-06-04,1.8767
2019-06-05,-0.5263
2019-06-06,-0.6878
2019-06-07,0.6926
2019-06-10,0.2646
2019-06-11,2.1636
2019-06-12,0.0
2019-06-13,0.4649
2019-06-14,-1.2339
2019-06-17,-1.3014000000000001
2019-06-18,0.211
2019-06-19,0.5263
2019-06-20,0.2618
2019-06-21,0.8355
2019-06-24,-0.4143
2019-06-25,0.312
2019-06-26,2.6957
2019-06-27,0.6562
2019-06-28,-2.7583
2019-07-01,1.5988
2019-07-02,-0.6599
2019-07-03,-1.2264
2019-07-05,0.2587
2019-07-08,-0.6708
2019-07-09,1.5584
2019-07-10,1.7391
2019-07-11,0.0503
2019-07-12,-0.8543
2019-07-15,0.4562
2019-07-16,-1.8668
2019-07-17,-2.4679
2019-07-18,-1.7396
2019-07-19,2.1996
2019-07-22,0.8924
2019-07-23,-2.1852
2019-07-24,-0.2128
2019-07-25,1.4126
2019-07-26,-0.657
2019-07-29,1.164
2019-07-30,-1.8305
2019-07-31,-1.2254
2019-08-01,-3.0744
2019-08-02,2.9494
2019-08-05,-4.7568
2019-08-06,-2.4972
2019-08-07,-1.5133999999999999
2019-08-08,2.0095
2019-08-09,4.2294
2019-08-12,0.5003
2019-08-13,3.042
2019-08-14,-5.4214
2019-08-15,-0.7946
2019-08-16,1.1442
2019-08-19,3.6765
2019-08-20,-1.2548
2019-08-21,0.4972
2019-08-22,-1.3194
2019-08-23,-2.3955
2019-08-26,-0.7991
2019-08-27,-0.1726
2019-08-28,2.3631
2019-08-29,1.6892
2019-08-30,1.3843
2019-09-03,-0.1092
2019-09-04,1.1482
2019-09-05,0.1622
2019-09-06,-0.1619
2019-09-09,0.4324
2019-09-10,2.099
2019-09-11,-2.2667
2019-09-12,0.8091
2019-09-13,0.7491
2019-09-16,-0.478
2019-09-17,-0.6403
2019-09-18,0.1611
2019-09-19,-1.6622
2019-09-20,1.6903000000000001
2019-09-23,-2.1448
2019-09-24,0.6575
2019-09-25,-0.9799
2019-09-26,-0.1649
2019-09-27,-0.6057
2019-09-30,-1.2742
2019-10-01,-3.4792
2019-10-02,0.2907
2019-10-03,2.1449
2019-10-04,-1.9296
2019-10-07,-4.5718
2019-10-08,-1.4554
2019-10-09,-0.8615
2019-10-10,-0.7449
