ticker,IPHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-11,27.5
2010-11-12,2.1569
2010-11-15,1.3436
2010-11-16,0.3788
2010-11-17,0.6289
2010-11-18,1.25
2010-11-19,-6.2963000000000005
2010-11-22,-0.3294
2010-11-23,-0.0661
2010-11-24,3.5053
2010-11-26,-1.0863
2010-11-29,0.5814
2010-11-30,2.1195
2010-12-01,0.3145
2010-12-02,-0.627
2010-12-03,2.2082
2010-12-06,3.5185
2010-12-07,6.3208
2010-12-08,2.5238
2010-12-09,5.0875
2010-12-10,1.4055
2010-12-13,0.6674
2010-12-14,-4.2835
2010-12-15,-2.0245
2010-12-16,-0.7069
2010-12-17,0.6024
2010-12-20,-0.2177
2010-12-21,7.8014
2010-12-22,0.7085
2010-12-23,0.5528
2010-12-27,1.8991
2010-12-28,0.0981
2010-12-29,0.7349
2010-12-30,-1.751
2010-12-31,-0.5446
2011-01-03,5.6745
2011-01-04,-2.3081
2011-01-05,4.5323
2011-01-06,-0.369
2011-01-07,-4.4907
2011-01-10,-0.0969
2011-01-11,-0.8248
2011-01-12,0.0
2011-01-13,-1.0763
2011-01-14,-0.6924
2011-01-18,-0.1494
2011-01-19,-2.7431
2011-01-20,-7.5897
2011-01-21,-0.1665
2011-01-24,-3.0017
2011-01-25,-0.8596
2011-01-26,3.1792
2011-01-27,5.6022
2011-01-28,0.6897
2011-01-31,-0.2634
2011-02-01,2.0602
2011-02-02,-0.8282
2011-02-03,2.2443
2011-02-04,3.3691
2011-02-07,3.2099
2011-02-08,0.0
2011-02-09,0.6699
2011-02-10,2.1863
2011-02-11,13.1163
2011-02-14,6.0444
2011-02-15,-2.6367000000000003
2011-02-16,0.7965
2011-02-17,5.2153
2011-02-18,-0.0376
2011-02-22,-12.1713
2011-02-23,0.1711
2011-02-24,-1.7079
2011-02-25,2.3458
2011-02-28,1.8251
2011-03-01,-7.92
2011-03-02,3.4405
2011-03-03,11.5536
2011-03-04,0.4315
2011-03-07,-4.1797
2011-03-08,1.0192
2011-03-09,-6.9007
2011-03-10,-10.9666
2011-03-11,4.0409
2011-03-14,4.0711
2011-03-15,-5.3507
2011-03-16,-3.0404
2011-03-17,5.6345
2011-03-18,-0.0928
2011-03-21,4.3175
2011-03-22,-0.8456
2011-03-23,-1.0323
2011-03-24,1.5873
2011-03-25,-3.9732
2011-03-28,-4.5095
2011-03-29,2.6776999999999997
2011-03-30,-0.3319
2011-03-31,-0.0476
2011-04-01,0.0
2011-04-04,0.8567
