ticker,LLIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,57.25
2010-04-23,-1.5103
2010-04-26,-6.4568
2010-04-27,3.5375
2010-04-28,-5.0
2010-04-29,-4.2982
2010-04-30,-2.8414
2010-05-03,-5.0943
2010-05-04,-13.5189
2010-05-05,3.6782
2010-05-06,-3.5477
2010-05-07,-3.6782
2010-05-10,-3.222
2010-05-11,1.7263
2010-05-12,2.5455
2010-05-13,-2.4823
2010-05-14,5.4545
2010-05-17,-3.4483
2010-05-18,-14.2634
2010-05-19,-8.3555
2010-05-20,8.6324
2010-05-21,0.2807
2010-05-24,1.3908
2010-05-25,-5.4853
2010-05-26,4.4974
2010-05-27,6.8056
2010-05-28,0.9103
2010-06-01,3.0928
2010-06-02,-0.875
2010-06-03,-8.4489
2010-06-04,4.2958
2010-06-07,-0.8172
2010-06-08,-4.1278
2010-06-09,-4.8611
2010-06-10,2.1898
2010-06-11,8.857099999999999
2010-06-14,-6.168
2010-06-15,0.6993
2010-06-16,-6.3889
2010-06-17,4.1543
2010-06-18,-2.4217
2010-06-21,0.5839
2010-06-22,1.5965
2010-06-23,-1.4285999999999999
2010-06-24,-1.5941999999999998
2010-06-25,-2.8001
2010-06-28,-2.269
2010-06-29,-2.3275
2010-06-30,0.0
2010-07-01,-4.2857
2010-07-02,-1.8242
2010-07-06,1.3514
2010-07-07,4.6667
2010-07-08,-4.578
2010-07-09,-0.3755
2010-07-12,-12.0624
2010-07-13,5.7144
2010-07-14,-1.259
2010-07-15,-4.3796
2010-07-16,-6.4885
2010-07-19,-3.0587
2010-07-20,10.105
2010-07-21,0.5712
2010-07-22,-2.0913
2010-07-23,1.3592
2010-07-26,-0.067
2010-07-27,-8.9428
2010-07-28,3.1579
2010-07-29,4.3878
2010-07-30,-6.1584
2010-08-02,2.9557
2010-08-03,-2.4662
2010-08-04,-0.4149
2010-08-05,0.0
2010-08-06,-1.0443
2010-08-09,-2.7343
2010-08-10,-2.1645
2010-08-11,-9.9558
2010-08-12,-1.7199
2010-08-13,14.9969
2010-08-16,0.0027
2010-08-17,-3.4783
2010-08-18,1.1261
2010-08-19,-5.7905999999999995
2010-08-20,-4.0189
2010-08-23,-0.4926
2010-08-24,-3.2178
2010-08-25,-1.0262
2010-08-26,-5.9401
2010-08-27,4.3956
2010-08-30,-6.3158
2010-08-31,-2.2472
2010-09-01,7.7586
2010-09-02,-0.8
2010-09-03,5.6418
2010-09-07,14.5075
2010-09-08,12.4444
2010-09-09,18.7747
