ticker,OMDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-19,0.0
2003-06-20,700.0
2007-01-30,-87.5
2007-01-31,0.0
2007-03-26,0.0
2007-03-29,0.0
2007-04-04,0.0
2007-08-02,0.0
2007-08-13,0.0
2007-11-05,0.0
2007-12-20,0.0
2008-01-18,0.0
2008-03-03,0.0
2008-03-10,0.0
2008-03-13,0.0
2008-03-26,0.0
2008-05-20,0.0
2008-05-27,0.0
2008-09-25,0.0
2008-10-03,0.0
2008-11-13,0.0
2008-11-20,0.0
2008-11-21,0.0
2008-12-18,0.0
2009-02-11,0.0
2009-03-31,0.0
2009-07-06,0.0
2009-08-19,0.0
2009-09-23,0.0
2009-11-05,0.0
2009-11-12,0.0
2009-12-29,0.0
2010-01-22,0.0
2014-10-21,0.0
2014-10-29,0.0
2014-11-18,0.0
2015-04-13,-31.2
2015-07-27,45.3488
2015-08-06,0.0
2015-09-28,0.0
2015-10-13,-50.4
2015-10-14,-3.2258
2016-06-16,108.3333
2016-08-16,-68.0
2016-11-10,85.0
2017-02-27,68.9189
2017-03-30,0.0
2017-04-07,700.0
2017-06-23,-90.0
2017-08-28,-80.0
2017-09-26,-80.0
2018-02-28,1625.0
2018-04-06,44.9275
2018-05-29,-44.0
2018-06-11,78.5714
2018-07-20,0.0
2018-08-02,-99.0
2018-09-28,900.0
2018-11-30,30.0
2019-06-24,38.4615
2019-08-20,-11.1111
2019-11-18,525.0
2020-01-07,-90.0
2020-01-17,900.0
2020-02-07,-49.0
2020-02-11,96.0784
2020-06-01,0.0
2020-06-25,-90.0
