ticker,PHOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-01,0.0
2004-07-02,1.8182
2004-07-14,1.7856999999999998
2004-07-28,-1.4035
2004-08-02,1.4235
2004-08-27,-7.0175
2004-09-15,3.7736
2004-09-20,-3.6364
2004-11-18,3.7736
2005-01-18,-5.4545
2005-03-21,-1.9231
2005-04-26,-31.3725
2005-05-19,-11.4286
2005-06-03,-9.6774
2005-06-06,-17.8571
2005-06-07,0.0
2005-06-15,-12.1739
2005-06-23,0.0
2005-06-28,0.0
2005-09-12,-65.3465
2005-10-21,185.7143
2005-12-09,-65.0
2005-12-19,-14.2857
2005-12-20,-16.6667
2005-12-22,-20.0
2005-12-27,-25.0
2005-12-29,-86.6667
2006-01-12,0.0
2006-05-18,0.0
2006-06-15,50.0
2006-06-20,66.6667
2006-06-22,60.0
2006-06-23,-25.0
2006-06-27,-16.6667
2006-07-07,0.0
2006-07-13,0.0
2006-07-14,60.0
2006-07-26,12.5
2006-07-31,-33.3333
2006-08-16,83.3333
2006-08-30,-36.3636
2006-09-20,0.0
2007-07-16,-28.5714
2007-07-17,-20.0
2007-07-20,-62.5
2007-09-24,566.6667
2007-09-27,1.0
2007-11-27,-80.198
2007-12-05,155.0
2007-12-27,98.0392
2008-04-16,-80.198
2008-04-21,175.0
2008-09-19,-72.7273
2008-10-24,240.0
2008-11-25,-70.5882
2009-01-02,573.3333
2009-01-05,0.0
2009-01-07,0.0
2009-01-12,0.0
2009-03-27,0.0
2009-04-30,3.9604
2009-08-27,-93.2381
2009-11-06,1.4085
2009-12-15,-49.8264
2010-01-08,0.0
2010-03-30,176.8166
2010-06-21,0.0
2010-06-22,0.0
2010-07-16,0.0
2010-11-05,10.0
2010-11-23,18.1818
2010-11-24,23.0769
2010-12-01,-37.5
2010-12-02,100.0
2010-12-09,-47.5
2010-12-20,0.0
2010-12-21,23.8095
2010-12-23,7.6923
2011-01-13,14.2857
2011-02-01,-43.125
2011-02-17,394.5055
2011-02-18,-11.1111
2011-02-22,22.5
2011-02-23,-6.1224
2011-02-24,21.2435
2011-03-07,-40.0
2011-03-09,236.6667
2011-03-10,0.0
2011-03-11,-40.5941
2011-03-14,66.6667
2011-03-16,100.0
2011-03-17,-20.0
2011-03-18,-27.5
2011-03-21,68.9655
2011-03-22,-5.102
2011-03-23,-4.3011
2011-03-24,11.236
2011-03-25,-8.0808
2011-03-28,-7.6923
2011-03-29,4.7619
2011-03-30,-14.7727
2011-03-31,-24.0
2011-04-01,14.0351
