ticker,ABBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-20,-1.0
2008-08-21,-4.0404
2008-09-15,0.0
2008-09-19,26.3158
2008-09-26,-10.4167
2008-09-30,-4.6512
2008-10-02,-2.3415
2008-10-08,0.0
2008-10-09,-3.0969
2008-10-30,-27.8351
2008-10-31,46.4286
2008-11-11,-5.3659
2008-11-28,5.6701
2009-01-13,-35.0244
2009-01-15,0.6006
2009-01-20,0.7463
2009-02-20,-11.1111
2009-02-23,8.3333
2009-03-31,51.5385
2009-09-29,-18.7817
2009-10-01,3.125
2009-10-07,3.0303
2009-11-04,0.0
2009-11-25,-11.7647
2009-11-30,6.6667
2009-12-08,0.0
2009-12-31,-8.125
2010-02-23,8.8435
2010-03-01,6.125
2010-06-21,-11.6608
2010-07-01,-4.6667
2010-07-08,-3.4965
2010-08-19,0.0
2010-08-20,-2.1739
2010-08-24,0.0
2010-08-25,-1.4815
2010-09-13,1.9548999999999999
2010-10-21,0.295
2010-11-04,-2.9412000000000003
2010-12-07,0.0
2010-12-13,-4.5455
2010-12-15,0.0
2011-01-12,15.0794
2011-03-01,-6.2069
2011-03-02,0.0
2011-03-04,0.0
2011-04-05,17.647100000000002
2011-06-10,-11.875
2011-06-13,0.0
2011-07-18,-2.1277
2011-08-05,-4.3478
2011-08-08,-2.2727
2011-08-24,6.9767
2011-09-14,-20.2899
2011-09-19,0.0
2011-09-26,0.0
2011-10-07,-3.6364
2011-10-12,0.0
2011-10-31,-1.8868
2011-12-13,-1.7308
2011-12-27,-0.1957
2012-01-20,0.0
2012-02-17,2.9412000000000003
2012-04-10,-2.6667
2012-08-02,-1.1742
2012-08-08,3.9604
2012-08-23,0.0
2012-09-13,0.9524
2012-09-26,0.0
2012-10-25,0.9434
2012-11-28,-1.8692
2012-11-29,0.0
2013-01-07,10.4762
2013-02-25,-7.7586
2013-03-06,3.7382999999999997
2013-05-23,8.1081
2013-09-03,3.3333
2013-09-24,20.9677
2013-10-01,20.0
2013-10-07,0.0
2013-10-22,-22.2222
2013-10-25,1.0
2013-11-01,0.4243
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,1.4085
2013-11-21,-1.3889
2013-11-29,0.0
2013-12-04,5.6338
2013-12-09,-9.3333
2013-12-11,8.8235
2014-01-13,-5.4054
2014-01-16,2.8571
2014-03-04,0.6944
2014-03-06,-6.8966
2014-04-02,9.6296
2014-04-04,-2.027
2014-07-23,0.0
2014-07-25,3.4483
2014-08-18,0.0
2014-08-27,-3.3333
