ticker,PLUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,90.4514
2000-01-04,-12.124
2000-01-05,-0.6224
2000-01-06,-12.1086
2000-01-07,-15.4394
2000-01-10,17.4157
2000-01-11,-11.9617
2000-01-12,4.0761
2000-01-13,-1.8277
2000-01-14,-1.8617
2000-01-18,-2.439
2000-01-19,-6.6667
2000-01-20,1.3393
2000-01-21,12.7753
2000-01-24,-10.1563
2000-01-25,8.9855
2000-01-26,8.2447
2000-01-27,-4.6683
2000-01-28,-4.1237
2000-01-31,-4.8387
2000-02-01,4.8023
2000-02-02,-2.965
2000-02-03,-2.2222
2000-02-04,-1.1364
2000-02-07,-0.8621
2000-02-08,3.7681
2000-02-09,0.838
2000-02-10,-1.9391
2000-02-11,-1.6949
2000-02-14,0.8621
2000-02-15,-13.9601
2000-02-16,-12.4172
2000-02-17,-1.7013
2000-02-18,-5.5769
2000-02-22,-0.8147
2000-02-23,-4.3121
2000-02-24,-3.0043
2000-02-25,18.5841
2000-02-28,20.8955
2000-02-29,11.7284
2000-03-01,-5.2486
2000-03-02,-7.2886
2000-03-03,-3.3019
2000-03-06,2.6016
2000-03-07,-5.8637
2000-03-08,15.1515
2000-03-09,10.526299999999999
2000-03-10,13.2275
2000-03-13,6.5421
2000-03-14,-10.307
2000-03-15,-3.423
2000-03-16,-2.0253
2000-03-17,1.292
2000-03-20,-2.4234999999999998
2000-03-21,-5.8824
2000-03-22,-6.6667
2000-03-23,9.5238
2000-03-24,-8.288
2000-03-27,-5.1852
2000-03-28,-0.9375
2000-03-29,-10.2524
2000-03-30,1.9332
2000-03-31,-8.6207
2000-04-03,-5.6604
2000-04-04,-2.0
2000-04-05,13.4694
2000-04-06,-0.3597
2000-04-07,-6.1372
2000-04-10,-4.2308
2000-04-11,1.2048
2000-04-12,-9.5238
2000-04-13,-5.7018
2000-04-14,-29.3023
2000-04-17,6.9079
2000-04-18,-2.1538
2000-04-19,5.6604
2000-04-20,29.7619
2000-04-24,-7.7982
2000-04-25,-4.4776
2000-04-26,1.8229
2000-04-27,-5.6266
2000-04-28,1.897
2000-05-01,2.1277
2000-05-02,-2.0833
2000-05-03,-9.0426
2000-05-04,5.6287
2000-05-05,2.1453
2000-05-08,-4.607
2000-05-09,0.0
2000-05-10,-3.4091
2000-05-11,3.5294
2000-05-12,4.5455
2000-05-15,2.1739
2000-05-16,-1.0638
2000-05-17,-1.0753
2000-05-18,1.087
2000-05-19,-5.3763
2000-05-22,-6.8182
