ticker,QSMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-21,49900.0
2016-04-22,0.0
2016-05-19,-49.5
2016-05-20,0.0
2016-07-13,-70.297
2016-07-18,-63.3333
2016-08-02,0.0
2016-08-22,363.6364
2016-09-30,-21.5686
2016-10-04,-17.5
2016-10-05,9.0909
2016-10-06,-27.7778
2016-10-07,-18.8462
2016-10-11,18.4834
2016-10-13,-12.0
2016-10-17,9.0909
2016-10-18,-2.9167
2016-10-19,-27.0386
2016-10-20,-75.2941
2016-10-21,-30.9524
2016-10-24,-62.069
2016-10-25,13.6364
2016-10-26,-3.0
2016-10-27,22.6804
2016-10-28,-22.6891
2016-11-01,-65.2174
2016-11-03,0.0
2016-11-08,-42.25
2016-11-10,-13.4199
2016-11-11,50.0
2016-11-15,-33.3333
2016-12-13,-4.5
2016-12-29,-37.1728
2017-01-23,100.0
2017-01-24,-57.9167
2017-01-25,73.2673
2017-02-03,-20.5714
2017-02-24,7.9137
2017-03-08,0.0
2017-03-17,3.6
2017-03-22,2.9600999999999997
2017-03-23,1.25
2017-03-24,-0.6173
2017-04-03,-19.2547
2017-04-04,-19.2308
2017-04-05,0.0
2017-04-10,61.9048
2017-04-11,14.7059
2017-04-12,12.3077
2017-04-13,6.3927
2017-04-17,-72.9614
2017-04-18,46.0317
2017-04-19,-14.1304
2017-04-20,6.3291
2017-04-21,-14.2857
2017-04-24,11.1111
2017-04-25,2.5
2017-04-26,-28.0488
2017-04-27,18.6441
2017-04-28,-2.625
2017-05-01,-16.3763
2017-05-02,-1.7544
2017-05-03,-48.2143
2017-05-04,24.1379
2017-05-05,-13.8889
2017-05-08,-3.2258
2017-05-09,-3.3333
2017-05-10,-22.4138
2017-05-11,3.9167
2017-05-12,6.9233
2017-05-15,-4.0
2017-05-16,-4.1667
2017-05-17,8.6957
2017-05-18,0.0
2017-05-19,-20.0
2017-05-22,25.0
2017-05-23,9.0
2017-05-24,-19.2661
2017-05-25,-9.0909
2017-05-26,-5.0
2017-05-30,26.3158
2017-05-31,-41.6667
2017-06-01,-17.8571
2017-06-02,-21.7391
2017-06-05,22.2222
2017-06-06,-18.1818
2017-06-07,0.0
2017-06-08,5.5556
2017-06-09,-10.526299999999999
2017-06-12,15.2941
2017-06-13,-16.3265
2017-06-14,9.6341
2017-06-15,-16.574
2017-06-16,35.4
2017-06-19,13.2447
2017-06-20,-13.0435
2017-06-21,19.0
2017-06-22,-15.9664
2017-06-23,0.0
2017-06-26,9.9
