ticker,WFTLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-23,14.2449
2019-12-24,-1.7864
2019-12-26,-5.4202
2019-12-27,-0.9615
2019-12-30,-1.9417
2019-12-31,10.6931
2020-01-02,0.1789
2020-01-03,3.5714
2020-01-06,0.0
2020-01-07,-1.6897
2020-01-08,1.6836
2020-01-09,-1.1728
2020-01-10,5.0611
2020-01-13,12.1262
2020-01-14,0.7407
2020-01-15,-2.9412000000000003
2020-01-16,-1.3636
2020-01-17,-1.6897
2020-01-21,-1.875
2020-01-22,-6.3694
2020-01-23,-3.0612
2020-01-24,0.0
2020-01-27,-1.7544
2020-01-28,-0.2471
2020-01-29,3.4699999999999998
2020-01-30,-1.3841
2020-01-31,0.0
2020-02-03,-1.7544
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,1.5356999999999998
2020-02-07,-1.5125
2020-02-10,0.8929
2020-02-11,0.885
2020-02-12,-1.7544
2020-02-13,0.7218
2020-02-14,-0.7166
2020-02-18,3.5714
2020-02-19,-8.6207
2020-02-20,0.0
2020-02-21,-5.2453
2020-02-24,-6.4118
2020-02-25,-8.5102
2020-02-26,-2.326
2020-02-27,-0.0476
2020-02-28,-0.4288
2020-03-02,-4.3062000000000005
2020-03-03,-7.5
2020-03-04,-1.3514
2020-03-05,-12.3288
2020-03-06,-3.125
2020-03-09,-46.7742
2020-03-10,0.0
2020-03-11,3.0303
2020-03-12,-17.7647
2020-03-13,7.2961
2020-03-16,-3.3333
2020-03-17,-6.8966
2020-03-18,-21.4815
2020-03-19,12.6415
2020-03-20,0.5025
2020-03-23,1.6667
2020-03-24,-5.7377
2020-03-25,4.3478
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,-0.8333
2020-04-01,-5.042
2020-04-02,13.2743
2020-04-03,1.5625
2020-04-06,0.0
2020-04-07,3.2308
2020-04-08,4.1729
2020-04-09,15.8784
2020-04-13,0.0012
2020-04-14,-3.7037
2020-04-15,-17.9487
2020-04-16,-13.9063
2020-04-17,2.5408
2020-04-20,-7.0796
2020-04-21,-8.5714
2020-04-22,3.5417
2020-04-23,-9.4567
2020-04-24,3.3333
2020-04-27,-3.4409
2020-04-28,6.9042
2020-04-29,-2.0833
2020-04-30,-4.2553
2020-05-01,-18.8889
2020-05-04,9.589
2020-05-05,0.0
2020-05-06,-3.5
2020-05-07,10.1036
2020-05-08,5.8824
2020-05-11,15.3333
2020-05-12,-8.4778
2020-05-13,-16.8421
2020-05-14,-4.8354
2020-05-15,3.485
2020-05-18,-5.6555
2020-05-19,-7.0845
2020-05-20,-12.0235
2020-05-21,-22.3333
2020-05-22,-14.1631
2020-05-26,7.5
2020-05-27,9.3023
2020-05-28,-3.4043
2020-05-29,-11.8943
2020-06-01,2.0
2020-06-02,-0.7353
2020-06-03,-1.2346
2020-06-04,-1.0
2020-06-05,6.0606
2020-06-08,66.1667
2020-06-09,-13.1681
2020-06-10,-17.8218
2020-06-11,-13.6586
2020-06-12,13.9588
2020-06-15,8.1633
2020-06-16,1.8868
2020-06-17,-13.3333
2020-06-18,-3.4188
2020-06-19,0.4425
2020-06-22,-1.3216
2020-06-23,2.9018
2020-06-24,-9.7614
2020-06-25,-8.6538
2020-06-26,-2.9211
2020-06-29,7.0751
2020-06-30,-0.2532
2020-07-01,1.0152
2020-07-02,-2.0101
2020-07-06,2.0513
2020-07-07,-6.7839
2020-07-08,2.1563
2020-07-09,-0.2639
2020-07-10,-4.2328
2020-07-13,-11.6022
2020-07-14,-3.125
2020-07-15,3.2258
2020-07-16,-0.625
2020-07-17,6.9182
2020-07-20,-8.2353
2020-07-21,3.2051
2020-07-22,3.1056
2020-07-23,9.0361
2020-07-24,5.5249
2020-07-27,-3.1414
2020-07-28,-8.1081
2020-07-29,0.5882
2020-07-30,-0.5848
2020-07-31,1.7647
