ticker,RSSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-18,0.0
2009-05-19,-20.0
2009-05-20,0.0
2009-05-21,275.0
2009-05-22,-66.6667
2009-05-26,-20.0
2009-05-27,0.0
2009-05-28,0.0
2009-06-08,87.5
2009-06-25,0.0
2009-06-29,0.0
2009-06-30,13.3333
2009-07-14,0.0
2009-07-15,2.3529
2009-07-20,13.7931
2009-07-21,1.0101
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,20.0
2009-07-27,4.1667
2009-07-28,-8.0
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,-4.3478
2009-08-03,0.0
2009-08-04,0.0
2009-08-05,-13.6364
2009-08-06,3.1579
2009-08-10,2.0408
2009-08-11,-10.0
2009-08-12,0.0
2009-08-13,-5.5556
2009-08-17,-11.7647
2009-08-21,-20.0
2009-08-24,16.6667
2009-08-25,-14.2857
2009-08-28,0.0
2009-08-31,11.6667
2009-09-02,-2.9851
2009-09-04,30.7692
2009-09-09,-23.5294
2009-09-10,0.0
2009-09-11,0.0
2009-09-14,1.5385
2009-09-16,-9.0909
2009-09-17,0.0
2009-09-18,-13.3333
2009-09-23,-1.9231
2009-09-24,0.0
2009-09-25,22.549
2009-09-29,-18.4
2009-09-30,0.0
2009-10-01,1.9607999999999999
2009-10-05,-1.9231
2009-10-07,-9.8039
2009-10-09,6.5217
2009-10-13,4.0816
2009-10-14,27.451
2009-10-16,-23.0769
2009-10-19,-8.0
2009-10-21,8.6957
2009-10-23,0.0
2009-10-30,-10.0
2009-11-05,37.7778
2009-11-09,-27.4194
2009-11-10,-11.1111
2009-11-16,-12.5
2009-11-19,0.0
2009-12-03,28.5714
2009-12-07,0.0
2009-12-08,0.0
2009-12-09,0.0
2009-12-11,0.0
2009-12-16,11.1111
2009-12-21,0.0
2009-12-29,0.0
2009-12-31,0.0
2010-01-12,11.0
2010-02-04,-9.9099
2010-02-16,40.0
2010-02-17,-1.4285999999999999
2010-02-18,0.0
2010-02-22,15.942
2010-02-24,0.0
2010-02-25,-5.0
2010-02-26,0.0
2010-03-02,5.2632
2010-03-03,-5.0
2010-03-04,0.0
2010-03-05,5.2632
2010-03-08,-5.0
2010-03-09,0.0
2010-03-10,1.3158
2010-03-12,-9.0909
2010-03-15,0.0
2010-03-16,-12.857099999999999
2010-03-17,-1.6393
2010-03-22,-5.0
2010-03-24,1.7544
2010-03-29,-1.7241
2010-04-01,15.7895
2010-04-05,-7.5758
2010-04-06,1.9672
