ticker,AXXDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-10,20.0
2000-01-11,0.0
2000-01-13,66.6667
2000-01-18,-50.0
2000-02-23,200.0
2000-02-24,166.6667
2000-02-25,-12.5
2000-02-29,-14.2857
2000-03-01,33.3333
2000-03-03,0.0
2000-03-09,175.0
2000-03-10,-18.1818
2000-03-13,-14.4444
2000-03-14,3.8961
2000-03-15,-25.0
2000-03-20,8.3333
2000-03-21,0.0
2000-03-22,-15.3846
2000-03-23,-9.0909
2000-04-07,-20.0
2000-04-10,12.5
2000-04-12,0.0
2000-05-30,-66.6667
2000-06-14,46.6667
2000-06-19,-9.0909
2000-07-05,-12.5
2000-07-11,-14.2857
2000-07-17,33.3333
2000-07-26,-25.0
2000-09-13,-35.0
2000-09-14,13.6752
2000-10-30,-38.3459
2000-11-02,-4.878
2000-11-17,12.8205
2000-12-05,-9.0909
2000-12-08,0.0
2000-12-11,5.0
2000-12-12,-3.2738
2000-12-14,-13.8462
2000-12-19,8.5714
2000-12-20,0.0
2000-12-27,-15.7895
2000-12-28,0.0
2000-12-29,0.0
2001-01-01,0.0
2001-03-30,-21.875
2001-04-02,0.0
2001-04-06,24.0
2001-04-09,0.0
2001-04-12,0.0
2001-05-01,-3.2258
2001-06-22,26.6667
2001-06-28,0.0
2001-07-11,-15.7895
2001-07-19,15.625
2001-07-20,-13.5135
2001-07-23,12.5
2001-10-17,-44.4444
2001-11-14,0.0
2001-12-04,20.8125
2001-12-05,-2.7419000000000002
2001-12-17,14.8936
2001-12-27,-3.7037
2001-12-28,-15.3846
2001-12-31,18.1818
2002-01-07,15.3846
2002-01-10,-16.6667
2002-01-23,-4.0
2002-02-15,12.5
2002-02-22,-9.3981
2002-03-27,-18.2422
2002-05-21,25.0
2002-05-22,740.0
2002-06-07,-86.6667
2002-07-23,-7.1429
2002-07-26,0.0
2002-08-16,15.3846
2002-10-04,-3.5417
2002-11-08,-30.8855
2002-11-21,10.0
2002-12-05,0.0
2002-12-20,18.1818
2002-12-23,-15.3846
2002-12-24,9.0909
2002-12-31,-8.3333
2003-01-10,27.2727
2003-01-14,-11.875
2003-01-15,-10.8409
2003-01-22,9.0909
2003-04-16,-25.0
2003-05-15,50.0
2003-06-05,3.7037
2003-06-17,7.1429
2003-06-25,0.0
2003-07-24,-6.6667
2003-08-07,10.7143
2003-08-22,-3.2258
2003-09-03,-13.3333
2003-09-09,15.3846
2003-09-16,-13.3333
2003-10-14,123.0769
